Dates,HDFCAMC.NS Y,HDFCLIFE.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of HDFCLIFE.NS X,Effective Margin of HDFCAMC.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of HDFCAMC.NS X,Effective Investment of HDFCAMC.NS Y,Multiplier X,Multiplier Y
2022-06-30,1792.3499755859375,550.0,-1.320091151969547,-256.90934361353175,2049.259319199469,,,,,,,,,,,,,,,,
2022-07-01,1834.0999755859373,565.4500122070312,-1.5444292089346647,-300.3392336097927,2134.43920919573,,,,,,,,,,,,,,,,
2022-07-04,1870.25,574.2999877929688,-1.6056464657433374,-312.2759531939969,2182.525953193997,,,,,,,,,,,,,,,,
2022-07-05,1862.800048828125,564.8499755859375,-1.350230150894161,-262.57006873396494,2125.37011756209,,,,,,,,,,,,,,,,
2022-07-06,1910.9000244140625,557.4500122070312,-0.8732404154753444,-169.75277327060485,2080.652797684668,,,,,,,,,,,,,,,,
2022-07-07,1906.0,554.5999755859375,-0.8055385595259672,-156.618876561849,2062.618876561849,,,,,,,,,,,,,,,,
2022-07-08,1957.25,545.3499755859375,-0.2604005934146894,-50.58870161392952,2007.8387016139293,,,,,,,,,,,,,,,,
2022-07-11,1958.75,546.6500244140625,-0.2866755448895006,-55.67682191697941,2014.4268219169796,,,,,,,,,,,,,,,,
2022-07-12,1917.0999755859373,539.75,-0.2889027492937579,-56.07085418175575,1973.1708297676928,,,,,,,,,,,,,,,,
2022-07-13,1906.8499755859373,539.5,-0.3304495762050522,-64.1352111148617,1970.9851867007992,,,,,,,,,,,,,,,,
2022-07-14,1897.699951171875,537.1500244140625,-0.3036417439277629,-58.92862584102272,1956.6285770128975,,,,,,,,,,,,,,,,
2022-07-15,1897.9000244140625,539.9000244140625,-0.3820784036606703,-74.17384862574636,1972.0738730398089,,,,,,,,,,,,,,,,
2022-07-18,1930.550048828125,542.75,-0.2953479138654158,-57.327848231849885,1987.8778970599749,,,,,,,,,,,,,,,,
2022-07-19,1931.550048828125,535.9000244140625,-0.082155882003701,-15.940587459070684,1947.490636287196,,,,,,,,,,,,,,,,
2022-07-20,1921.699951171875,525.2000122070312,0.1888631882134612,36.62413033665644,1885.0758208352183,0.0,,,,,,,,,,,,,,,
2022-07-21,1925.050048828125,529.0999755859375,0.086254503441847,16.726398050775515,1908.3236507773493,,,,,,,,,,,,,,,,
2022-07-22,1901.75,535.0,-0.2121252745769536,-41.12591616466261,1942.8759161646624,,,,,,,,,,,,,,,,
2022-07-25,1860.3499755859373,526.75,-0.1767418927148348,-34.228674773557486,1894.578650359495,,,,,,,,,,,,,,,,
2022-07-26,1862.300048828125,522.5499877929688,-0.0406257570623604,-7.863167574574163,1870.1632164026992,,,,,,,,,,,,,,,,
2022-07-27,1906.199951171875,521.25,0.2225831722510333,43.0770271296667,1863.1229240422083,,,,,,,,,,,,,,,,
2022-07-28,1945.1500244140625,531.5999755859375,0.1113315577733465,21.55600948155825,1923.5940149325045,,,,,,,,,,,,,,,,
2022-07-29,1947.300048828125,555.5,-0.5961798423784648,-115.60962308462648,2062.9096719127515,,,,,,,,,,,,,,,,
2022-08-01,1999.8499755859373,546.0499877929688,-0.0385190077706088,-7.466193234396087,2007.3161688203336,,,,,,,,,,,,,,,,
2022-08-02,2009.5999755859373,538.5,0.2389031019815797,46.29289211632795,1963.3070834696096,,,,,,,,,,,,,,,,
2022-08-03,2001.550048828125,535.3499755859375,0.2906052385496408,56.30811391277439,1945.2419349153504,,,,,,,,,,,,,,,,
2022-08-04,1987.3499755859373,534.9000244140625,0.2289778134704581,44.3691733251344,1942.980802260803,,,,,,,,,,,,,,,,
2022-08-05,2002.050048828125,539.25,0.1714796137522727,33.23570696390334,1968.8143418642217,,,,,,,,,,,,,,,,
2022-08-08,2004.699951171875,536.75,0.2580080114911406,50.00164036677347,1954.6983108051013,,,,,,,,,,,,,,,,
2022-08-10,1984.5,540.9000244140625,0.0283291148427069,5.4913655114951325,1979.0086344885049,,,,,,,,,,,,,,,,
2022-08-11,2027.199951171875,541.5499877929688,0.229614890536149,44.50306895849894,1982.696882213376,,,,,,,,,,,,,,,,
2022-08-12,1956.5,544.9500122070312,-0.2338646399733029,-45.32136380213137,2001.8213638021316,,,,,,,,,,,,,,,,
2022-08-16,2181.35009765625,570.5999755859375,0.1521513751468705,29.508102060293822,2151.841995595956,,,,,,,,,,,,,,,,
2022-08-17,2172.5,589.3499755859375,-0.4569041939005447,-88.66020288681011,2261.16020288681,,,,,,,,,,,,,,,,
2022-08-18,2181.35009765625,586.75,-0.3300353596960602,-64.02574295466366,2245.3758406109137,,,,,,,,,,,,,,,,
2022-08-19,2157.10009765625,576.6500244140625,-0.147659067762868,-28.632115988509213,2185.732213644759,,,,,,,,,,,,,,,,
2022-08-22,2103.699951171875,566.6500244140625,-0.1171588323593506,-22.695254178420328,2126.395205350296,,,,,,,,,,,,,,,,
2022-08-23,2158.39990234375,565.8499755859375,0.1917086256230071,37.108206541920936,2121.291695801829,,,,,,,,,,,,,,,,
2022-08-24,2114.199951171875,566.6500244140625,-0.057039914587799,-11.029931530089923,2125.229882701965,,,,,,,,,,,,,,,,
2022-08-25,2114.199951171875,571.0499877929688,-0.1866593843079621,-36.061889165204775,2150.26184033708,,,,,,,,,,,,,,,,
2022-08-26,2089.550048828125,566.9000244140625,-0.1826609747879724,-35.229166519273804,2124.779215347399,,,,,,,,,,,,,,,,
2022-08-29,2044.550048828125,560.9500122070312,-0.2280367081131371,-43.90492764327109,2088.454976471396,,,,,,,,,,,,,,,,
2022-08-30,2074.89990234375,575.2000122070312,-0.5010670108502973,-96.41544547587272,2171.3153478196227,,,,,,,,,,,,,,,,
2022-09-01,2040.699951171875,575.5999755859375,-0.6846416001217654,-131.62270436243398,2172.322655534309,,,,,,,,,,,,,,,,
2022-09-02,2014.449951171875,574.8499755859375,-0.7908796445757952,-151.85605161230706,2166.306002784182,,,,,,,,,,,,,,,,
2022-09-05,2001.9000244140625,573.6500244140625,-0.81155332803213,-155.6524177877791,2157.5524422018416,,,,,,,,,,,,,,,,
2022-09-06,1972.949951171875,573.5,-0.9509445455149692,-182.43070983553616,2155.380661007411,,,,,,,,,,,,,,,,
2022-09-07,2010.0,576.9500122070312,-0.8577857039873211,-164.47951655118868,2174.4795165511887,,,,,,,,,,,,,,,,
2022-09-08,2021.199951171875,584.3499755859375,-1.0228021400959824,-196.25733520145693,2217.457286373332,,,,,,,,,,,,,,,,
2022-09-09,2015.5,575.9500122070312,-0.7865171215495415,-150.9522237347555,2166.4522237347555,,,,,,,,,,,,,,,,
2022-09-12,2037.4000244140625,578.5499877929688,-0.7496890367555332,-143.97385306010435,2181.373877474167,,,,,,,,,,,,,,,,
2022-09-13,2045.4000244140625,587.0499877929688,-0.9679360913702382,-186.0960837733487,2231.496108187411,,,,,,,,,,,,,,,,
2022-09-14,2031.550048828125,576.3499755859375,-0.7032652073318826,-135.23506211899985,2166.785110947125,,,,,,,,,,,,,,,,
2022-09-15,2009.75,566.75,-0.5152945641706139,-99.08554310254704,2108.835543102547,,,,,,,,,,,,,,,,
2022-09-16,1944.25,546.75,-0.2309733321237002,-44.381882471955805,1988.631882471956,,,,,,,,,,,,,,,,
2022-09-19,1940.800048828125,548.0999755859375,-0.2894022133898978,-55.61747966377334,1996.4175284918983,,,,,,,,,,,,,,,,
2022-09-20,1944.3499755859373,559.75,-0.6314816245703382,-121.46331056330564,2065.813286149243,,,,,,,,,,,,,,,,
2022-09-21,1939.8499755859373,551.4000244140625,-0.3927914150968276,-75.53760885786369,2015.3875844438007,,,,,,,,,,,,,,,,
2022-09-22,1916.8499755859373,545.7999877929688,-0.3365610536898974,-64.71284430149035,1981.562819887428,,,,,,,,,,,,,,,,
2022-09-23,1886.800048828125,539.4500122070312,-0.2943028752005936,-56.569382906114015,1943.369431734239,,,,,,,,,,,,,,,,
2022-09-26,1851.0999755859373,522.75,0.0401080107266202,7.702231214529091,1843.3977443714084,,,,,,,,,,,,,,,,
2022-09-27,1861.949951171875,520.8499755859375,0.1562683989260531,30.004977704699517,1831.9449734671755,,,,,,,,,,,,,,,,
2022-09-28,1859.5999755859373,514.4500122070312,0.3450831977058779,66.21753049157951,1793.382445094358,,,,,,,,,,,,,,,,
2022-09-29,1867.1500244140625,528.0,-0.0330865606511288,-6.346266247954191,1873.4962906620167,,,,,,,,,,,,,,,,
2022-09-30,1889.5999755859373,530.4500122070312,0.0113709605005718,2.179921873642797,1887.4200537122947,,,,,,,,,,,,,,,,
2022-10-03,1838.4000244140625,518.7000122070312,0.1165566048426733,22.31891290960266,1816.08111150446,,,,,,,,,,,,,,,,
2022-10-04,1892.4000244140625,531.9500122070312,-0.0151242891950494,-2.896945703798337,1895.2969701178608,,,,,,,,,,,,,,,,
2022-10-06,1911.5999755859373,529.6500244140625,0.1602103466843888,30.66610024790816,1880.933875338029,,,,,,,,,,,,,,,,
2022-10-07,1917.4000244140625,526.8499755859375,0.2803054783151198,53.62075280286808,1863.7792716111944,,,,,,,,,,,,,,,,
2022-10-10,1916.199951171875,533.2000122070312,0.0791799012324843,15.131201809751929,1901.068749362123,,,,,,,,,,,,,,,,
2022-10-11,1905.550048828125,522.5499877929688,0.3642089579982084,69.48052800163964,1836.0695208264851,,,,,,,,,,,,,,,,
2022-10-12,1925.0,526.5999755859375,0.3408624250089756,64.98869686022545,1860.0113031397743,,,,,,,,,,,,,,,,
2022-10-13,1920.199951171875,520.6500244140625,0.5059286462090593,96.36322658026484,1823.8367245916104,,,,,,,,,,,,,,,,
2022-10-14,1896.8499755859373,523.0,0.3129311916590504,59.54761714887718,1837.3023584370603,,,,,,,,,,,,,,,,
2022-10-17,1914.3499755859373,523.75,0.3851417129405695,73.20750646969827,1841.1424691162392,,,,,,,,,,,,,,,,
2022-10-18,1934.199951171875,531.25,0.2548132056681324,48.3992774840317,1885.8006736878435,,,,,,,,,,,,,,,,
2022-10-19,1960.300048828125,531.5499877929688,0.3863489540590773,73.29565148516804,1887.004397342957,,,,,,,,,,,,,,,,
2022-10-20,2035.3499755859373,537.2000122070312,0.6057358205712007,114.76893664194358,1920.581038943994,,,,,,,,,,,,,,,,
2022-10-21,2069.550048828125,541.9500122070312,0.6395954845863338,120.96900194405816,1948.5810468840668,,,,,,,,,,,,,,,,
2022-10-24,2060.64990234375,541.5499877929688,0.6082942024923084,114.928039942713,1945.721862401037,,,,,,,,,,,,,,,,
2022-10-25,2060.14990234375,533.4500122070312,0.863333015935274,163.09790499297287,1897.051997350777,,,,,,,,,,,,,,,,
2022-10-27,2078.64990234375,533.0,0.9700575844571682,183.40663871024617,1895.243263633504,,,,,,,,,,,,,,,,
2022-10-28,2069.300048828125,530.0999755859375,1.007218966622048,190.58309619445345,1878.716952633672,,,,,,,,,,,,,,,,
2022-10-31,2074.60009765625,540.4500122070312,0.7005595721348531,132.6778233420696,1941.9222743141804,,,,,,,,,,,,,,,,
2022-11-01,2090.25,544.5499877929688,0.6485396430379404,122.89929425971582,1967.350705740284,,,,,,,,,,,,,,,,
2022-11-02,2105.85009765625,542.25,0.7996078320666005,151.60987288432125,1954.2402247719288,,,,,,,,,,,,,,,,
2022-11-03,2098.199951171875,545.4000244140625,0.6543465400073096,124.13235527994176,1974.0675958919333,,,,,,,,,,,,,,,,
2022-11-04,2088.550048828125,539.2999877929688,0.7921610245933067,150.33660705554075,1938.213441772584,,,,,,,,,,,,,,,,
2022-11-07,2088.60009765625,536.0,0.8921804658496919,169.4182436365943,1919.181854019656,,,,,,,,,,,,,,,,
2022-11-09,2099.800048828125,531.75,1.0808018617355808,205.34730645737795,1894.452742370747,,,,,,,,,,,,,,,,
2022-11-10,2084.10009765625,528.25,1.1070419459952998,210.2048903480525,1873.895207308197,,,,,,,,,,,,,,,,
2022-11-11,2102.35009765625,542.6500244140625,0.7442944629130192,141.4650265948551,1960.885071061395,,,,,,,,,,,,,,,,
2022-11-14,2072.050048828125,538.8499755859375,0.7004086137632244,133.17166568506673,1938.8783831430585,,,,,,,,,,,,,,,,
2022-11-15,2078.89990234375,532.9000244140625,0.9170617273488894,174.4601726683236,1904.4397296754264,,,,,,,,,,,,,,,,
2022-11-16,2073.25,528.0999755859375,1.029857710278788,196.0674400894759,1877.182559910524,,,,,,,,,,,,,,,,
2022-11-17,2047.300048828125,531.2000122070312,0.789918572509992,150.48434210723508,1896.81570672089,,,,,,,,,,,,,,,,
2022-11-18,2052.550048828125,531.5499877929688,0.8014084191438067,152.57061128312512,1899.979437545,,,,,,,,,,,,,,,,
2022-11-21,2071.449951171875,532.3499755859375,0.8698644684565,165.50339139473908,1905.946559777136,,,,,,,,,,,,,,,,
2022-11-22,2105.89990234375,539.9500122070312,0.8067003080946819,153.52752039824918,1952.3723819455008,,,,,,,,,,,,,,,,
2022-11-23,2128.449951171875,547.6500244140625,0.6803162462403796,129.2878721090933,1999.1620790627817,,,,,,,,,,,,,,,,
2022-11-24,2124.550048828125,572.5499877929688,-0.1221883243411423,-23.198449878423617,2147.7484987065486,,,,,,,,,,,,,,,,
2022-11-25,2162.949951171875,586.5999755859375,-0.3620195646676805,-68.66802218659768,2231.6179733584727,,,,,,,,,,,,,,,,
2022-11-28,2166.25,586.0,-0.3264683716570454,-61.87024196418997,2228.12024196419,,,,,,,,,,,,,,,,
2022-11-29,2173.64990234375,584.8499755859375,-0.2515363210055512,-47.65045760943031,2221.3003599531803,,,,,,,,,,,,,,,,
2022-11-30,2187.10009765625,590.5999755859375,-0.361229012202205,-68.44143417523583,2255.541531831486,,,,,,,,,,,,,,,,
2022-12-01,2199.89990234375,596.4500122070312,-0.4772565690985489,-90.44779878734788,2290.347701131098,,,,,,,,,,,,,,,,
2022-12-02,2193.949951171875,589.8499755859375,-0.2995219190942206,-56.76250566600493,2250.71245683788,,,,,,,,,,,,,,,,
2022-12-05,2186.800048828125,588.9000244140625,-0.3067259891899318,-58.13079017282144,2244.9308390009464,,,,,,,,,,,,,,,,
2022-12-06,2192.0,586.7999877929688,-0.2122587568128368,-40.22723278658577,2232.227232786586,,,,,,,,,,,,,,,,
2022-12-07,2273.800048828125,581.7999877929688,0.3769073428485762,71.41335459624543,2202.38669423188,,,,,,,,,,,,,,,,
2022-12-08,2295.35009765625,577.5,0.6265783860092244,118.60744141731038,2176.74265623894,,,,,,,,,,,,,,,,
2022-12-09,2253.050048828125,579.5999755859375,0.3376603769706887,63.8645382003474,2189.1855106277776,,,,,,,,,,,,,,,,
2022-12-12,2237.800048828125,576.5,0.3552456420075208,67.13776350806756,2170.662285320057,,,,,,,,,,,,,,,,
2022-12-13,2248.14990234375,582.3499755859375,0.2258452468842121,42.665259024223815,2205.484643319526,,,,,,,,,,,,,,,,
2022-12-14,2270.699951171875,580.3499755859375,0.4090659351322728,77.201822491028,2193.498128680847,,,,,,,,,,,,,,,,
2022-12-15,2257.39990234375,580.2000122070312,0.3439986001885873,64.87399544860773,2192.5259068951423,,,,,,,,,,,,,,,,
2022-12-16,2238.550048828125,575.2000122070312,0.4036175685906888,75.97307549375046,2162.5769733343745,,,,,,,,,,,,,,,,
2022-12-19,2290.800048828125,584.4500122070312,0.3896550311779249,73.28359694953633,2217.5164518785887,,,,,,,,,,,,,,,,
2022-12-20,2273.85009765625,579.7999877929688,0.4477273014922476,84.08742230741018,2189.76267534884,,,,,,,,,,,,,,,,
2022-12-21,2228.60009765625,575.4000244140625,0.3490981487265167,65.39448948020845,2163.2056081760416,,,,,,,,,,,,,,,,
2022-12-22,2183.10009765625,577.8499755859375,0.0315851665269775,5.898796467469765,2177.20130118878,,,,,,,,,,,,,,,,
2022-12-23,2075.85009765625,565.4500122070312,-0.1454360038314086,-27.062274149061068,2102.912371805311,,,,,,,,,,,,,,,,
2022-12-26,2135.699951171875,569.2999877929688,0.0549850355201454,10.21481551861234,2125.4851356532627,,,,,,,,,,,,,,,,
2022-12-27,2164.449951171875,569.7999877929688,0.1937082230933442,35.972872438143895,2128.477078733731,,,,,,,,,,,,,,,,
2022-12-28,2154.39990234375,568.2000122070312,0.1910228666049849,35.44578140005251,2118.954120943697,,,,,,,,,,,,,,,,
2022-12-29,2183.35009765625,571.0,0.2576096847123071,47.77553151932125,2135.5745661369288,,,,,,,,,,,,,,,,
2022-12-30,2181.5,566.25,0.3989194478751151,73.93236286976844,2107.567637130232,,,,,,,,,,,,,,,,
2023-01-02,2190.050048828125,570.2999877929688,0.3160710372283769,58.501318177125086,2131.548730651,,,,,,,,,,,,,,,,
2023-01-03,2189.64990234375,595.5999755859375,-0.4923527993185229,-91.13197814168323,2280.781880485433,,,,,,,,,,,,,,,,
2023-01-04,2181.0,598.5999755859375,-0.6327402112210548,-117.12499520408984,2298.12499520409,,,,,,,,,,,,,,,,
2023-01-05,2199.39990234375,609.4500122070312,-0.876566933882334,-162.36379186472186,2361.763694208472,,,,,,,,,,,,,,,,
2023-01-06,2135.39990234375,611.6500244140625,-1.286922478372148,-238.63648975502383,2374.036392098774,,,,,,,,,,,,,,,,
2023-01-09,2172.10009765625,608.4500122070312,-0.9836166710743114,-182.46039154171055,2354.5604891979606,,,,,,,,,,,,,,,,
