Dates,ICICIGI.NS Y,HDFCLIFE.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of HDFCLIFE.NS X,Effective Margin of ICICIGI.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of ICICIGI.NS X,Effective Investment of ICICIGI.NS Y,Multiplier X,Multiplier Y
2022-09-12,1240.4000244140625,578.5499877929688,-0.7814242190801781,-46.11758471332837,1286.5176091273909,,0.0001906007463689,,,,,,,,,,,,,,,
2022-09-13,1235.75,587.0499877929688,-1.106450325326935,-65.38982496802373,1301.1398249680235,,0.0002244904591733,,,,,,,,,,,,,,,
2022-09-14,1245.300048828125,576.3499755859375,-0.627758263793855,-37.10296754362116,1282.4030163717462,,0.0001822593550383,,,,,,,,,,,,,,,
2022-09-15,1234.8499755859375,566.75,-0.5196853152849642,-30.714341142606827,1265.5643167285443,,0.0001712717335878,,,,,,,,,,,,,,,
2022-09-16,1215.4000244140625,546.75,-0.2597164699351514,-15.335518349824724,1230.7355427638872,,0.000174956251547,,,,,,,,,,,,,,,
2022-09-19,1208.0,548.0999755859375,-0.4224119846369631,-24.948371588882765,1232.9483715888828,,0.0001778929989339,,,,,,,,,,,,,,,
2022-09-20,1215.6500244140625,559.75,-0.6339559942257966,-37.47394668319748,1253.12397109726,,0.0001776944472435,,,,,,,,,,,,,,,
2022-09-21,1200.1500244140625,551.4000244140625,-0.6486947171904734,-38.33735160666629,1238.4873760207288,,0.0001800984313488,,,,,,,,,,,,,,,
2022-09-22,1194.550048828125,545.7999877929688,-0.5770412510199329,-34.09706128339985,1228.6471101115249,,0.0001744769625739,,,,,,,,,,,,,,,
2022-09-23,1179.4000244140625,539.4500122070312,-0.6443581549078841,-38.06829352516411,1217.4683179392266,,0.000191695359109,,,,,,,,,,,,,,,
2022-09-26,1145.5999755859375,522.75,-0.7182886880846794,-42.42092712403155,1188.020902709969,,0.0001931448731166,,,,,,,,,,,,,,,
2022-09-27,1158.4000244140625,520.8499755859375,-0.4434513168872362,-26.188996554475352,1184.589020968538,,0.0001777728191718,,,,,,,,,,,,,,,
2022-09-28,1164.050048828125,514.4500122070312,-0.1589409443071674,-9.382440263243096,1173.432489091368,,0.0001760365510945,,,,,,,,,,,,,,,
2022-09-29,1165.949951171875,528.0,-0.5193695332303286,-30.67019567488296,1196.620146846758,,0.0001975719251286,,,,,,,,,,,,,,,
2022-09-30,1151.1500244140625,530.4500122070312,-0.8332027410363643,-49.22916909355217,1200.379193507615,,0.000248506875932,,,,,,,,,,,,,,,
2022-10-03,1125.449951171875,518.7000122070312,-0.9132710096076904,-53.96468800562116,1179.4146391774962,,0.0002235355111619,,,,,,,,,,,,,,,
2022-10-04,1149.949951171875,531.9500122070312,-0.8904723424119164,-52.64969747481223,1202.5996486466872,,0.0002924455588326,,,,,,,,,,,,,,,
