Dates,DRREDDY.NS Y,GLENMARK.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of GLENMARK.NS X,Effective Margin of DRREDDY.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of DRREDDY.NS X,Effective Investment of DRREDDY.NS Y,Multiplier X,Multiplier Y
2023-06-22,4899.4501953125,627.7000122070312,-0.3926944760781683,-81.74317784240066,4981.193373154901,,0.0030422102110358,,,,,,,,,,,,,,,
2023-06-23,4993.89990234375,633.0,0.0037810365073147,0.7843416248160793,4993.115560718934,0.0,0.0019738483827991,,,,,,,,,,,,,,,
2023-06-26,5041.60009765625,645.4000244140625,0.0821058058387064,16.917228381595123,5024.682869274655,,0.0020773989050676,,,,,,,,,,,,,,,
2023-06-27,5025.60009765625,655.7000122070312,-0.1118011537505056,-22.883261638476142,5048.483359294726,,0.0025546504264355,,,,,,,,,,,,,,,
2023-06-28,5107.85009765625,675.5999755859375,0.0347009895213264,7.0551045463435,5100.7949931099065,,0.003106763526656,,,,,,,,,,,,,,,
2023-06-30,5159.60009765625,676.0,0.3166820931971267,63.96368177453951,5095.636415881711,,0.0013921009453261,,,,,,,,,,,,,,,
2023-07-03,5098.2998046875,659.4500122070312,0.2857214311446828,57.406874748834525,5040.8929299386655,,0.0010180694027774,,,,,,,,,,,,,,,
2023-07-04,5188.39990234375,649.6500244140625,0.8962698541384209,179.38588014654124,5009.014022197209,,0.0018271781615802,,,,,,,,,,,,,,,
2023-07-05,5178.35009765625,664.0,0.662611508905462,132.00228861723372,5046.347809039016,,0.0012329143582169,,,,,,,,,,,,,,,
2023-07-06,5231.7998046875,668.25,0.8946563158931772,177.31179243004954,5054.4880122574505,,0.0015750825166719,,,,,,,,,,,,,,,
2023-07-07,5182.5,689.25,0.3723932316640435,73.38362220899216,5109.116377791008,,0.0009974269082803,,,,,,,,,,,,,,,
2023-07-10,5154.9501953125,663.7999877929688,0.6150931449032726,121.071081772634,5033.879113539866,,0.0005654513889875,,,,,,,,,,,,,,,
2023-07-11,5165.85009765625,670.5999755859375,0.5943696223107061,116.53397403932196,5049.316123616928,,0.0003304469684794,,,,,,,,,,,,,,,
2023-07-12,5189.0,676.6500244140625,0.6441736675752636,125.97371998478776,5063.026280015212,,0.0026844197132762,,,,,,,,,,,,,,,
2023-07-13,5142.4501953125,683.25,0.337186077325855,65.71358258096825,5076.736612731532,,0.0027258677332008,,,,,,,,,,,,,,,
2023-07-14,5092.0498046875,702.0999755859375,-0.1588355491200474,-30.83459371437675,5122.884398401877,,0.0027017469859614,,,,,,,,,,,,,,,
2023-07-17,5229.75,702.4000244140625,0.567486288043188,109.8532278490593,5119.896772150941,,0.0031512169020501,,,,,,,,,,,,,,,
2023-07-18,5191.0,721.1500244140625,0.1395429486898078,26.830971233757737,5164.169028766242,,0.0026273336022978,,,,,,,,,,,,,,,
2023-07-19,5221.35009765625,720.0999755859375,0.344871322197168,65.87459617405875,5155.475501482191,,0.0024039086575626,,,,,,,,,,,,,,,
2023-07-20,5339.2998046875,740.6500244140625,0.6605952842634816,126.04588191671428,5213.253922770786,,0.0027379949405374,,,,,,,,,,,,,,,
2023-07-21,5288.2001953125,753.1500244140625,0.2067003563773476,39.40420703207201,5248.795988280428,,0.0024580690329015,,,,,,,,,,,,,,,
2023-07-24,5391.7001953125,788.2999877929688,0.235489504577056,44.74311956729253,5346.957075745208,,0.0025056225948059,,,,,,,,,,,,,,,
2023-07-25,5425.39990234375,784.0499877929688,0.4480707280486346,85.1669909541597,5340.23291138959,,0.0028066354740141,,,,,,,,,,,,,,,
2023-07-26,5475.64990234375,806.2999877929688,0.3700532131649311,70.18509933106179,5405.464803012688,,0.0026714167033697,,,,,,,,,,,,,,,
2023-07-27,5507.0,822.3499755859375,0.2836642321656545,53.72284083228442,5453.277159167716,,0.0025753535240357,,,,,,,,,,,,,,,
2023-07-28,5583.0,798.75,0.9880815654496108,187.79363061714596,5395.206369382854,,0.0033482045448238,,,,,,,,,,,,,,,
2023-07-31,5640.4501953125,787.8499755859375,1.4002328330545968,266.97460284045883,5373.475592472041,,0.0036266899026269,,,,,,,,,,,,,,,
2023-08-01,5667.0498046875,788.2000122070312,1.485994477920197,284.02501709144417,5383.024787596056,,0.0037549879942455,,,,,,,,,,,,,,,
2023-08-02,5660.4501953125,780.6500244140625,1.5173586606051848,290.96137619525507,5369.488819117245,,0.0039972574677109,,,,,,,,,,,,,,,
2023-08-03,5659.5,792.1500244140625,1.3035054017528067,250.22974510285803,5409.270254897142,,0.003570136555786,,,,,,,,,,,,,,,
2023-08-04,5649.5498046875,803.5499877929688,1.0488154628637214,201.4325907325465,5448.1172139549535,,0.0089023063650129,,,,,,,,,,,,,,,
2023-08-07,5630.7001953125,816.0,0.7393766038032223,141.977728853195,5488.722466459305,,0.0076172149893025,,,,,,,,,,,,,,,
2023-08-08,5657.9501953125,824.8499755859375,0.7213190881218859,138.4978682464216,5519.452327066078,,0.0084859624537701,,,,,,,,,,,,,,,
2023-08-09,5871.0,828.5999755859375,1.7119788743116793,329.6096204855303,5541.39037951447,,0.0276887125208506,,,,,,,,,,,,,,,
2023-08-10,5851.14990234375,810.4000244140625,1.8259760642812697,353.3614779513,5497.78842439245,,0.0282425825221646,,,,,,,,,,,,,,,
2023-08-11,5823.0,801.3499755859375,1.7657563094820796,343.0963823021575,5479.9036176978425,,0.0306422206613306,,,,,,,,,,,,,,,
2023-08-14,5823.35009765625,797.6500244140625,1.7720204852495174,345.4101822941466,5477.939915362103,,0.0302043395045093,,,,,,,,,,,,,,,
2023-08-16,5857.85009765625,797.4500122070312,1.897654070033966,371.1398214761366,5486.710276180113,,0.033105203673929,,,,,,,,,,,,,,,
2023-08-17,5880.64990234375,779.2999877929688,2.234052184586345,439.7255855845433,5440.924316759207,1.0,0.0100652046947377,,,,,,,,,,,,,,,
2023-08-18,5874.4501953125,766.2000122070312,2.345605035869253,464.6175060227124,5409.832689289788,,0.0115011277452824,,,,,,,,,,,,,,,
2023-08-21,5910.85009765625,775.0499877929688,2.3329422462127924,464.3550437843878,5446.495053871862,,0.0121903113419415,,,,,,,,,,,,,,,
2023-08-22,5925.5498046875,759.0,2.5921077645648247,520.0317641148613,5405.518040572639,,0.016645565927291,,,,,,,,,,,,,,,
2023-08-23,5953.35009765625,758.3499755859375,2.6757157957761115,540.8585962301331,5412.491501426117,,0.0186619569400488,,,,,,,,,,,,,,,
2023-08-24,5907.14990234375,749.1500244140625,2.5340632997969577,515.9149242526883,5391.234978091062,,0.0160153659947566,,,,,,,,,,,,,,,
2023-08-25,5779.25,739.4500122070312,2.021092653609702,413.3959601977722,5365.854039802228,,0.0100855712507421,,,,,,,,,,,,,,,
2023-08-28,5775.89990234375,767.1500244140625,1.545537248542603,316.34851763771803,5459.551384706032,,0.0057999793033545,,,,,,,,,,,,,,,
2023-08-29,5723.7998046875,756.5499877929688,1.4374780530429667,294.7814149776859,5429.018389709814,,0.0060966433918783,,,,,,,,,,,,,,,
2023-08-30,5649.75,755.3499755859375,1.0829882381507476,222.17068843414108,5427.579311565859,,0.0094671565987353,,,,,,,,,,,,,,,
2023-08-31,5607.85009765625,766.8499755859375,0.6902501424667278,141.47027068404714,5466.379826972203,,0.0031371671692394,,,,,,,,,,,,,,,
2023-09-01,5578.5498046875,757.0499877929688,0.6974118046269776,142.88079495961392,5435.669009727886,,0.0032118658048776,,,,,,,,,,,,,,,
2023-09-04,5659.4501953125,761.5,1.0110006206883615,207.04639874999705,5452.403796562503,,0.0091084388941303,,,,,,,,,,,,,,,
2023-09-05,5578.89990234375,791.75,0.1375665917849033,28.08450515284312,5550.815397190907,,0.002387859875674,,,,,,,,,,,,,,,
2023-09-06,5583.2998046875,792.9500122070312,0.1424758162980786,29.052398626638933,5554.247406060861,,0.0027961367940336,,,,,,,,,,,,,,,
2023-09-07,5615.14990234375,793.8499755859375,0.2851454730789825,58.06761573097901,5557.082286612771,,0.0032275893541049,,,,,,,,,,,,,,,
2023-09-08,5583.7998046875,776.8499755859375,0.4026627171481035,81.99363978454494,5501.806164902955,,0.0032991410941049,,,,,,,,,,,,,,,
2023-09-11,5613.7998046875,810.9500122070312,0.0058233725504102,1.1825101162030478,5612.617294571297,,0.0028329222813304,,,,,,,,,,,,,,,
2023-09-12,5673.7998046875,814.2000122070312,0.2468259287761444,50.07685123961528,5623.722953447885,,0.0026172478505596,,,,,,,,,,,,,,,
2023-09-13,5738.89990234375,861.9000244140625,-0.1947692363624828,-39.36927636198197,5778.269178705732,0.0,0.0024242906303795,,,,,,,,,,,,,,,
2023-09-14,5744.64990234375,865.4000244140625,-0.2146845233090156,-43.35152472552727,5788.001427069277,,0.0023484681407863,,,,,,,,,,,,,,,
2023-09-15,5819.5,856.5,0.2961255173584627,59.80663754938541,5759.693362450615,,0.0019398030098982,,,,,,,,,,,,,,,
2023-09-18,5728.0,851.5499877929688,-0.0727749439488169,-14.694583077761308,5742.694583077761,,0.0013910657173292,,,,,,,,,,,,,,,
2023-09-20,5615.0498046875,856.5999755859375,-0.6971340012143344,-140.7062604251223,5755.756065112622,,0.0015042587691181,,,,,,,,,,,,,,,
2023-09-21,5668.5,827.7000122070312,0.0369443431478928,7.457077848608606,5661.042922151391,,0.0016146968787376,,,,,,,,,,,,,,,
2023-09-22,5517.0498046875,802.7999877929688,-0.3029000192987371,-61.11887729508544,5578.168681982585,,0.0025459760533508,,,,,,,,,,,,,,,
2023-09-25,5438.75,785.5499877929688,-0.4036562266542999,-81.39674456356897,5520.146744563569,,0.0031981030120116,,,,,,,,,,,,,,,
2023-09-26,5467.75,762.25,0.1194735524782298,24.05265041282837,5443.697349587172,,0.0062874712453046,,,,,,,,,,,,,,,
2023-09-27,5496.4501953125,776.4000244140625,0.0386278390947075,7.743870698888713,5488.706324613611,,0.0080115356292851,,,,,,,,,,,,,,,
2023-09-28,5429.10009765625,776.9500122070312,-0.297993617894298,-59.530142845112096,5488.630240501362,,0.0075393104393064,,,,,,,,,,,,,,,
2023-09-29,5587.0,855.5,-0.7715048875667253,-153.24559690225396,5740.245596902254,,0.0071313194042891,,,,,,,,,,,,,,,
2023-10-03,5461.7001953125,842.5999755859375,-1.1670000426354616,-231.93567331719169,5693.635868629692,,0.0072960584591291,,,,,,,,,,,,,,,
2023-10-04,5417.7998046875,807.0999755859375,-0.7952076748668006,-158.27291660157243,5576.072721289072,,0.0056918064993028,,,,,,,,,,,,,,,
2023-10-05,5407.25,793.2000122070312,-0.6116585438605727,-121.73807709521134,5528.988077095211,,0.0065821862127664,,,,,,,,,,,,,,,
2023-10-06,5424.89990234375,793.5999755859375,-0.5196937671699141,-103.3163187318587,5528.216221075609,,0.0073344686983361,,,,,,,,,,,,,,,
