Dates,AXISBANK.NS Y,RBLBANK.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of RBLBANK.NS X,Effective Margin of AXISBANK.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of AXISBANK.NS X,Effective Investment of AXISBANK.NS Y,Multiplier X,Multiplier Y
2023-07-28,949.9500122070312,234.1000061035156,0.3389530222360061,28.357087958775537,921.5929242482556,,0.4230361599829719,,,,,,,,,,,,,,,
2023-07-31,953.9000244140624,227.8500061035156,0.4773948818824173,39.934080825732735,913.9659435883298,,0.4234392544371761,,,,,,,,,,,,,,,
2023-08-01,959.9000244140624,224.6000061035156,0.5902698554155834,49.34657834306222,910.5534460710004,,0.4613564953218375,,,,,,,,,,,,,,,
2023-08-02,945.25,220.3999938964844,0.4759077022762639,39.77419880720845,905.4758011927916,,0.4791773122629313,,,,,,,,,,,,,,,
2023-08-03,935.5499877929688,221.1999969482422,0.3377863199832696,28.2095353403256,907.3404524526431,,0.4514474180991012,,,,,,,,,,,,,,,
2023-08-04,952.25,216.1000061035156,0.6151012414017119,51.37202909936968,900.8779709006304,,0.4656802656600841,,,,,,,,,,,,,,,
2023-08-07,947.4000244140624,216.0,0.548382843235985,45.767929074512494,901.63209533955,,0.4622587103455572,,,,,,,,,,,,,,,
2023-08-08,952.9000244140624,220.3999938964844,0.5259236547636567,43.84019755772863,909.059826856334,,0.4719750514829864,,,,,,,,,,,,,,,
2023-08-09,950.0,220.9499969482422,0.4718915298639904,39.31081973189873,910.6891802681012,,0.4636075701411056,,,,,,,,,,,,,,,
2023-08-10,939.75,224.25,0.2822814955222901,23.48791956916932,916.2620804308308,,0.4473632090324784,,,,,,,,,,,,,,,
2023-08-11,937.2000122070312,222.3999938964844,0.2778589977327068,23.1075395630952,914.092472643936,,0.4357985698526063,,,,,,,,,,,,,,,
2023-08-14,939.9500122070312,223.6499938964844,0.2816942745302908,23.401838110658677,916.5481740963726,,0.4416157416424369,,,,,,,,,,,,,,,
2023-08-16,933.0499877929688,218.0500030517578,0.2947925468705313,24.48661079236922,908.5633770005996,,0.4470181835505331,,,,,,,,,,,,,,,
2023-08-17,936.5499877929688,219.0500030517578,0.3126095539348968,25.944262972627484,910.6057248203412,,0.4343122234003405,,,,,,,,,,,,,,,
2023-08-18,943.0499877929688,215.8000030517578,0.443221727936701,36.76807418941962,906.2819136035492,,0.4517637895757054,,,,,,,,,,,,,,,
2023-08-21,952.5999755859376,218.6000061035156,0.4992206638498377,41.37497890630607,911.2249966796314,,0.4653166681413201,,,,,,,,,,,,,,,
2023-08-22,957.0499877929688,221.3999938964844,0.4934244356511132,40.86099440837961,916.1889933845893,,0.4642374270894775,,,,,,,,,,,,,,,
2023-08-23,979.25,230.1999969482422,0.5886317761002332,48.692758889501306,930.5572411104988,,0.5158389077683064,,,,,,,,,,,,,,,
2023-08-24,981.3499755859376,229.1999969482422,0.622933823459441,51.54595503693622,929.8040205490012,,0.5223170956985338,,,,,,,,,,,,,,,
2023-08-25,983.0999755859376,230.3500061035156,0.6127385236124632,50.70525604730051,932.394719538637,,0.5227883350099187,,,,,,,,,,,,,,,
2023-08-28,990.2000122070312,232.0,0.6569613218698341,54.368933788266986,935.8310784187644,,0.5214676793226756,,,,,,,,,,,,,,,
2023-08-29,980.7000122070312,233.5,0.5048286569368833,41.7723843656122,938.927627841419,,0.5056552318495997,,,,,,,,,,,,,,,
2023-08-30,983.3499755859376,241.1499938964844,0.3831314952779581,31.667930241111662,951.6820453448258,,0.4811942900421541,,,,,,,,,,,,,,,
2023-08-31,973.5,238.75,0.3021928074153153,24.97844970110032,948.5215502988996,,0.4846763315916713,,,,,,,,,,,,,,,
2023-09-01,991.1500244140624,238.0500030517578,0.5190803784924556,42.90869917377108,948.2413252402914,,0.4934859109827834,,,,,,,,,,,,,,,
2023-09-04,982.25,234.5500030517578,0.4699976462378861,38.864238259637546,943.3857617403625,,0.486043808113737,,,,,,,,,,,,,,,
2023-09-05,981.4500122070312,235.8999938964844,0.4258734699776028,35.20263531795058,946.2473768890808,,0.4831261080472631,,,,,,,,,,,,,,,
2023-09-06,965.0499877929688,233.5,0.267748468617877,22.131844377004427,942.9181434159644,,0.4583137948930409,,,,,,,,,,,,,,,
2023-09-07,978.2000122070312,235.6499938964844,0.3763192152928843,31.085348685439385,947.114663521592,,0.4691390384703326,,,,,,,,,,,,,,,
2023-09-08,980.2999877929688,232.6000061035156,0.4521177576560344,37.349974392992976,942.9500133999758,,0.4854384145158147,,,,,,,,,,,,,,,
2023-09-11,1000.4000244140624,232.6999969482422,0.6822330050814478,56.36666279543249,944.03336161863,,0.502528900187996,,,,,,,,,,,,,,,
2023-09-12,1000.9000244140624,217.8000030517578,0.970434214504002,80.35097205256102,920.5490523615016,,0.4602095263467694,,,,,,,,,,,,,,,
2023-09-13,1014.4500122070312,227.75,0.9246415588727146,76.51644926844187,937.9335629385894,,0.4673827790499593,,,,,,,,,,,,,,,
2023-09-14,1020.9000244140624,228.6000061035156,0.971373931346308,80.40011481408078,940.4999095999816,,0.4511284506911525,,,,,,,,,,,,,,,
2023-09-15,1027.1500244140625,233.1499938964844,0.9407828562179368,77.86351908234622,949.2865053317164,,0.4309753770504115,,,,,,,,,,,,,,,
2023-09-18,1024.75,230.25,0.9551845813101664,79.09732672483108,945.6526732751688,,0.4271486549378548,,,,,,,,,,,,,,,
2023-09-20,1027.300048828125,231.3999938964844,0.9466066486292992,78.374924576382,948.925124251743,,0.4062711735674192,,,,,,,,,,,,,,,
2023-09-21,1014.4500122070312,226.3500061035156,0.8809069930939032,72.95636378429242,941.4936484227388,,0.3506007795006565,,,,,,,,,,,,,,,
2023-09-22,1018.25,233.0,0.7752685252832074,64.12039606402072,954.1296039359792,,0.3296073571366593,,,,,,,,,,,,,,,
2023-09-25,1018.9500122070312,237.75,0.6692662933490513,55.24299005936268,963.7070221476686,,0.358627159348549,,,,,,,,,,,,,,,
2023-09-26,1014.1500244140624,237.6999969482422,0.5966522474119565,49.16637094279781,964.9836534712648,,0.3742821614576788,,,,,,,,,,,,,,,
2023-09-27,1025.199951171875,245.3999938964844,0.5519285296697652,45.37549985730993,979.8244513145652,,0.3768088627653796,,,,,,,,,,,,,,,
2023-09-28,1030.9000244140625,241.3500061035156,0.6913029901294101,56.79777603654293,974.1022483775196,,0.4127098525358083,,,,,,,,,,,,,,,
2023-09-29,1036.699951171875,252.75,0.5025974583186641,41.19393881317808,995.5060123586968,,0.3678314694723019,,,,,,,,,,,,,,,
2023-10-03,1041.050048828125,255.6000061035156,0.4783545190951746,39.13946578073774,1001.9105830473871,,0.3557737781717942,,,,,,,,,,,,,,,
