Dates,ABBOTINDIA.NS Y,LUPIN.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of LUPIN.NS X,Effective Margin of ABBOTINDIA.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of ABBOTINDIA.NS X,Effective Investment of ABBOTINDIA.NS Y,Multiplier X,Multiplier Y
2023-07-31,24068.599609375,985.4500122070312,2.011621483824092,3868.842983401646,20199.756625973358,,0.6499093929992626,,,,,,,,,,,,,,,
2023-08-01,23943.19921875,988.2000122070312,1.905673252187628,3671.361831144896,20271.837387605105,,0.6475587426431486,,,,,,,,,,,,,,,
2023-08-02,24084.69921875,994.5999755859376,1.9305013992384243,3724.464627839367,20360.234590910637,,0.7428731451358751,,,,,,,,,,,,,,,
2023-08-03,24555.80078125,1035.3499755859375,2.059801226829692,3973.1063174008814,20582.69446384912,,0.7950566985020421,,,,,,,,,,,,,,,
2023-08-04,23864.0,1064.0,1.6014299016835676,3083.441167204517,20780.558832795483,,0.6443630852289204,,,,,,,,,,,,,,,
2023-08-07,23964.75,1081.1500244140625,1.5723849750851475,3026.8678182496733,20937.882181750327,,0.575338623933508,,,,,,,,,,,,,,,
2023-08-08,23774.349609375,1083.699951171875,1.4258156375378377,2745.3347182739235,21029.01489110108,,0.6163547433408226,,,,,,,,,,,,,,,
2023-08-09,23749.099609375,1099.449951171875,1.3434297683179186,2586.97316601107,21162.12644336393,,0.6647430567187922,,,,,,,,,,,,,,,
2023-08-10,23887.75,1085.3499755859375,1.4121630992072738,2724.8876181312444,21162.86238186876,,0.6627912395524651,,,,,,,,,,,,,,,
2023-08-11,23732.80078125,1076.9000244140625,1.3206300142805505,2551.9648005315903,21180.83598071841,,0.6367080116550317,,,,,,,,,,,,,,,
2023-08-14,23637.80078125,1082.0,1.230285468943155,2378.8883779148678,21258.912403335133,,0.4980902160734494,,,,,,,,,,,,,,,
2023-08-16,23904.19921875,1112.8499755859375,1.2587154711977042,2432.295762778544,21471.903455971456,,0.4981174023289719,,,,,,,,,,,,,,,
2023-08-17,23658.75,1092.0999755859375,1.1577269110745618,2241.2651473577607,21417.48485264224,,0.473605375616228,,,,,,,,,,,,,,,
2023-08-18,23399.599609375,1067.5999755859375,1.0653004190463953,2065.547340408575,21334.052268966425,,0.4588181353453824,,,,,,,,,,,,,,,
2023-08-21,23436.05078125,1086.3499755859375,1.0108937375671512,1959.1021703143235,21476.94861093568,,0.4548188208386055,,,,,,,,,,,,,,,
2023-08-22,23478.349609375,1091.0999755859375,0.9959404473805386,1930.1446709072625,21548.204938467738,,0.4524631546200122,,,,,,,,,,,,,,,
2023-08-23,23231.099609375,1094.0999755859375,0.8388813735304366,1625.429549621742,21605.670059753254,,0.4342828118668795,,,,,,,,,,,,,,,
2023-08-24,23164.650390625,1089.5,0.7979988753830005,1546.406887167388,21618.24350345761,,0.4729919166610034,,,,,,,,,,,,,,,
2023-08-25,23221.0,1077.5999755859375,0.8419590392594707,1632.3894008277457,21588.61059917225,,0.4612002197402189,,,,,,,,,,,,,,,
2023-08-28,23388.44921875,1108.0,0.8173784845312151,1582.7973742135582,21805.65184453644,,0.4599986731729366,,,,,,,,,,,,,,,
2023-08-29,23414.94921875,1097.699951171875,0.8440270835911938,1636.0506072219796,21778.89861152802,,0.4475396488667845,,,,,,,,,,,,,,,
2023-08-30,23363.650390625,1100.800048828125,0.7897781838336776,1531.2105824227292,21832.43980820227,,0.4423092027346747,,,,,,,,,,,,,,,
2023-08-31,23109.55078125,1097.8499755859375,0.6520498791360536,1264.4919627421625,21845.05881850784,,0.4264450052515439,,,,,,,,,,,,,,,
2023-09-01,22704.650390625,1093.8499755859375,0.4417249062229312,856.4467088444035,21848.2036817806,,0.4087451090410982,,,,,,,,,,,,,,,
2023-09-04,22345.25,1097.4000244140625,0.2337078755142464,452.8439700496274,21892.406029950373,,0.4139389967031112,,,,,,,,,,,,,,,
2023-09-05,22793.25,1119.25,0.3819158428294578,739.2379170082058,22054.012082991798,,0.4478977544183515,,,,,,,,,,,,,,,
2023-09-06,23106.599609375,1139.050048828125,0.4681818923418367,905.6630605383398,22200.93654883666,,0.4616342094669774,,,,,,,,,,,,,,,
2023-09-07,23029.05078125,1136.199951171875,0.4307073802408571,833.5068732139371,22195.543908036063,,0.4584609720844928,,,,,,,,,,,,,,,
2023-09-08,23002.30078125,1128.5999755859375,0.4358737194465974,844.0035962094989,22158.2971850405,,0.4611671917229339,,,,,,,,,,,,,,,
2023-09-11,22985.099609375,1126.5,0.4261134551733112,825.3894191577128,22159.710190217287,,0.4605663209861971,,,,,,,,,,,,,,,
2023-09-12,22897.25,1138.449951171875,0.3344380199931208,647.617426069748,22249.63257393025,,0.4507965864408067,,,,,,,,,,,,,,,
2023-09-13,23004.150390625,1145.5,0.3570839633092748,691.3705647490788,22312.77982587592,,0.4556312736495495,,,,,,,,,,,,,,,
2023-09-14,22910.599609375,1155.6500244140625,0.2679688256807299,518.6859218004174,22391.913687574583,,0.4540838125967079,,,,,,,,,,,,,,,
2023-09-15,23351.150390625,1150.699951171875,0.5027831871588075,973.769836576008,22377.380554048992,,0.4650620542531627,,,,,,,,,,,,,,,
2023-09-18,23308.349609375,1139.550048828125,0.5121292755128256,992.6345840500652,22315.71502532493,,0.4630229502981256,,,,,,,,,,,,,,,
2023-09-20,23191.5,1149.550048828125,0.4132037719254088,800.7074785260156,22390.792521473984,,0.4624422130967239,,,,,,,,,,,,,,,
2023-09-21,22838.349609375,1127.300048828125,0.3039818566926134,589.6715737352788,22248.67803563972,,0.4570104147473361,,,,,,,,,,,,,,,
2023-09-22,22543.25,1097.449951171875,0.252265547344083,489.93632648271887,22053.31367351728,,0.4563065625669747,,,,,,,,,,,,,,,
2023-09-25,22650.650390625,1110.550048828125,0.2586781705049049,502.22369677953975,22148.42669384546,,0.4312228151341375,,,,,,,,,,,,,,,
