Dates,TORNTPHARM.NS Y,ABBOTINDIA.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of ABBOTINDIA.NS X,Effective Margin of TORNTPHARM.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of TORNTPHARM.NS X,Effective Investment of TORNTPHARM.NS Y,Multiplier X,Multiplier Y
2023-08-14,1971.9000244140625,23637.80078125,1.909451010090199,188.8776427000032,1783.0223817140593,,0.1525266211692016,,,,,,,,,,,,,,,
2023-08-16,1986.300048828125,23904.19921875,1.86851330593416,185.3845690068947,1800.9154798212303,,0.1468159318694755,,,,,,,,,,,,,,,
2023-08-17,1983.25,23658.75,1.9603342147888252,195.3592779922724,1787.8907220077276,,0.1551463464670913,,,,,,,,,,,,,,,
2023-08-18,1980.5999755859373,23399.599609375,2.064980286170973,206.7714159247264,1773.828559661211,,0.1671866151742516,,,,,,,,,,,,,,,
2023-08-21,1975.75,23436.05078125,1.9704092546166936,198.06342287653752,1777.6865771234625,,0.1616657909537273,,,,,,,,,,,,,,,
2023-08-22,1976.5999755859373,23478.349609375,1.9297727452390463,194.6936088216687,1781.9063667642688,,0.1581130846840495,,,,,,,,,,,,,,,
2023-08-23,1938.5,23231.099609375,1.6856984729931186,170.62560626366144,1767.8743937363386,,0.1357166604597349,,,,,,,,,,,,,,,
2023-08-24,1961.949951171875,23164.650390625,1.9366484199982863,196.7986252495068,1765.1513259223682,,0.1618579008283471,,,,,,,,,,,,,,,
2023-08-25,1937.800048828125,23221.0,1.6482277725175207,167.9262388523755,1769.8738099757495,,0.1340678802987726,,,,,,,,,,,,,,,
2023-08-28,1958.1500244140625,23388.44921875,1.7269515050953022,176.42355910518427,1781.7264653088782,,0.1408229503749195,,,,,,,,,,,,,,,
2023-08-29,1958.800048828125,23414.94921875,1.6989438321220118,174.06776047482117,1784.7322883533038,,0.2065743709103135,,,,,,,,,,,,,,,
2023-08-30,1954.699951171875,23363.650390625,1.6731509193305618,171.93093573243164,1782.7690154394434,,0.2044671555575129,,,,,,,,,,,,,,,
2023-08-31,1842.5,23109.55078125,0.7336074390705707,75.44816118663744,1767.0518388133626,,0.0355140662114188,,,,,,,,,,,,,,,
2023-09-01,1785.800048828125,22704.650390625,0.4307156695236274,44.32924788328637,1741.4708009448386,,0.0329779527732093,,,,,,,,,,,,,,,
2023-09-04,1827.0,22345.25,1.0470551492741842,107.93076901083214,1719.069230989168,,0.0870478050607815,,,,,,,,,,,,,,,
2023-09-05,1873.5,22793.25,1.2119275438835646,125.04215105135836,1748.4578489486416,,0.0892537322143076,,,,,,,,,,,,,,,
2023-09-06,1922.050048828125,23106.599609375,1.474137205363341,152.31601148778623,1769.7340373403388,,0.1023097532220266,,,,,,,,,,,,,,,
2023-09-07,1891.5,23029.05078125,1.214262274662778,125.55923489257476,1765.9407651074252,,0.092370609535742,,,,,,,,,,,,,,,
2023-09-08,1872.75,23002.30078125,1.0389104504261,107.45309391037812,1765.296906089622,,0.1402064389343802,,,,,,,,,,,,,,,
2023-09-11,1867.25,22985.099609375,0.9870513880339552,102.12854158689196,1765.121458413108,,0.1294130798734925,,,,,,,,,,,,,,,
2023-09-12,1857.5,22897.25,0.9393024008789156,97.23008127878713,1760.269918721213,,0.0767733311454319,,,,,,,,,,,,,,,
2023-09-13,1868.550048828125,23004.150390625,0.9707833488780668,100.54410074600536,1768.0059480821196,,0.0708995421310738,,,,,,,,,,,,,,,
