Dates,CUB.NS Y,HDFCBANK.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of HDFCBANK.NS X,Effective Margin of CUB.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of CUB.NS X,Effective Investment of CUB.NS Y,Multiplier X,Multiplier Y
2022-05-09,124.25,1319.8499755859375,-1.5049664971444707,-23.886638924403144,148.13663892440314,,,,,,,,,,,,,,,,
2022-05-10,121.5500030517578,1341.050048828125,-1.7359439742419642,-27.637835689817905,149.18783874157572,,,,,,,,,,,,,,,,
2022-05-11,121.8499984741211,1348.5999755859375,-1.7321984340523056,-27.65622619538385,149.50622466950497,,,,,,,,,,,,,,,,
2022-05-12,119.3000030517578,1303.050048828125,-1.7290361422968257,-27.67154790143709,146.9715509531949,,,,,,,,,,,,,,,,
2022-05-13,119.0,1291.3499755859375,-1.6985984597328316,-27.26144755849816,146.26144755849816,,,,,,,,,,,,,,,,
2022-05-16,122.0999984741211,1305.0999755859375,-1.5425877789132032,-24.815935872927952,146.91593434704905,,,,,,,,,,,,,,,,
2022-05-17,125.8000030517578,1314.0,-1.335219729527919,-21.51484039881774,147.31484345057555,,,,,,,,,,,,,,,,
2022-05-18,124.8499984741211,1313.9000244140625,-1.3860164613267756,-22.37077378142737,147.22077225554847,,,,,,,,,,,,,,,,
2022-05-19,124.9000015258789,1287.050048828125,-1.284610359170467,-20.7625598434322,145.6625613693111,,,,,,,,,,,,,,,,
2022-05-20,125.0500030517578,1320.949951171875,-1.384382700322914,-22.422298115623164,147.47230116738098,,,,,,,,,,,,,,,,
2022-05-23,126.3000030517578,1304.0,-1.244316381452981,-20.183551413562327,146.48355446532014,,,,,,,,,,,,,,,,
2022-05-24,125.8499984741211,1318.949951171875,-1.316874452020027,-21.398926882253704,147.2489253563748,,,,,,,,,,,,,,,,
2022-05-25,126.1999969482422,1328.800048828125,-1.3218819801472996,-21.512830295733835,147.71282724397602,,,,,,,,,,,,,,,,
2022-05-26,126.5500030517578,1366.699951171875,-1.4230585700969496,-23.194107270652268,149.74411032241008,,,,,,,,,,,,,,,,
2022-05-27,126.5999984741211,1392.050048828125,-1.500153012113499,-24.49715016721717,151.09714864133826,,,,,,,,,,,,,,,,
2022-05-30,138.60000610351562,1401.550048828125,-0.794965204964492,-12.979618944386232,151.57962504790186,,,,,,,,,,,,,,,,
2022-05-31,140.10000610351562,1388.949951171875,-0.6566403357124175,-10.722709443697426,150.82271554721305,,,,,,,,,,,,,,,,
2022-06-01,142.3000030517578,1394.8499755859375,-0.5406405620818616,-8.830172378754071,151.13017543051188,,,,,,,,,,,,,,,,
2022-06-02,142.14999389648438,1385.0999755859375,-0.5136633267337689,-8.390377720537458,150.54037161702183,,,,,,,,,,,,,,,,
2022-06-03,143.1999969482422,1380.300048828125,-0.4304588774113339,-7.030932452041839,150.23092940028403,,,,,,,,,,,,,,,,
2022-06-06,140.0500030517578,1378.449951171875,-0.6143596902495528,-10.036899703308706,150.08690275506652,,,,,,,,,,,,,,,,
2022-06-07,140.75,1362.5999755859375,-0.512482523467568,-8.370919982936357,149.12091998293636,,,,,,,,,,,,,,,,
2022-06-08,138.6999969482422,1367.4000244140625,-0.6521300565142543,-10.654301320011768,149.35429826825396,,,,,,,,,,,,,,,,
2022-06-09,139.85000610351562,1377.699951171875,-0.6158736359059953,-10.064125642394686,149.9141317459103,,,,,,,,,,,,,,,,
2022-06-10,136.89999389648438,1351.0999755859375,-0.6985958259138668,-11.420217520095887,148.32021141658026,,,,,,,,,,,,,,,,
2022-06-13,133.60000610351562,1326.5999755859375,-0.8085045994179904,-13.222012666762282,146.8220187702779,,,,,,,,,,,,,,,,
2022-06-14,133.9499969482422,1312.0,-0.730139316498057,-11.942796535698164,145.89279348394035,,,,,,,,,,,,,,,,
2022-06-15,134.14999389648438,1307.449951171875,-0.6998723282839401,-11.4527346217767,145.60272851826107,,,,,,,,,,,,,,,,
2022-06-16,130.39999389648438,1281.300048828125,-0.8322898164885231,-13.62572948020022,144.0257233766846,,,,,,,,,,,,,,,,
