Dates,DRREDDY.NS Y,LUPIN.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of LUPIN.NS X,Effective Margin of DRREDDY.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of DRREDDY.NS X,Effective Investment of DRREDDY.NS Y,Multiplier X,Multiplier Y
2023-08-28,5775.89990234375,1108.0,1.7011286333879416,453.0652303759289,5322.834671967821,,0.1371413443389367,,,,,,,,,,,,,,,
2023-08-29,5723.7998046875,1097.699951171875,1.5626247720403272,417.1625954968922,5306.637209190608,,0.1312061079786552,,,,,,,,,,,,,,,
2023-08-30,5649.75,1100.800048828125,1.2318558293606554,329.26448396996966,5320.48551603003,,0.1044973697617902,,,,,,,,,,,,,,,
2023-08-31,5607.85009765625,1097.8499755859375,1.0805781076484726,289.1833930908251,5318.666704565425,,0.0948914365181882,,,,,,,,,,,,,,,
2023-09-01,5578.5498046875,1093.8499755859375,0.9876922750324044,264.59201917844075,5313.957785509059,,0.0940270023806332,,,,,,,,,,,,,,,
2023-09-04,5659.4501953125,1097.4000244140625,1.231414587288571,330.24281884587526,5329.207376466625,,0.106665698388626,,,,,,,,,,,,,,,
2023-09-05,5578.89990234375,1119.25,0.7130687966732129,191.12404064985455,5387.775861693895,,0.0841947597196383,,,,,,,,,,,,,,,
2023-09-06,5583.2998046875,1139.050048828125,0.5313331460180561,142.30850336308777,5440.991301324412,,0.0797515079009936,,,,,,,,,,,,,,,
2023-09-07,5615.14990234375,1136.199951171875,0.6599098320159849,176.82540099860944,5438.324501345141,,0.0843543182431533,,,,,,,,,,,,,,,
2023-09-08,5583.7998046875,1128.5999755859375,0.5987837297006927,160.53736610713713,5423.262438580363,,0.0835376012870764,,,,,,,,,,,,,,,
2023-09-11,5613.7998046875,1126.5,0.7139352797967371,191.50838269572523,5422.291421991775,,0.0861279964621599,,,,,,,,,,,,,,,
2023-09-12,5673.7998046875,1138.449951171875,0.8077700044241614,216.70905068319556,5457.0907540043045,,0.0836955398406125,,,,,,,,,,,,,,,
2023-09-13,5738.89990234375,1145.5,0.9628953181345198,258.48611999433524,5480.413782349415,,0.0940579792901925,,,,,,,,,,,,,,,
2023-09-14,5744.64990234375,1155.6500244140625,0.8667831930686046,232.700896423451,5511.949005920299,,0.085982983143884,,,,,,,,,,,,,,,
2023-09-15,5819.5,1150.699951171875,1.1679526812996324,314.06694064849216,5505.433059351508,,0.0961579076084389,,,,,,,,,,,,,,,
2023-09-18,5728.0,1139.550048828125,0.9148214513345452,246.3017829959008,5481.698217004099,,0.0870151232006409,,,,,,,,,,,,,,,
2023-09-20,5615.0498046875,1149.550048828125,0.3874882027087487,104.26854597261809,5510.781258714882,,0.0676275296129742,,,,,,,,,,,,,,,
2023-09-21,5668.5,1127.300048828125,0.7841414789212697,211.2832650403925,5457.216734959608,,0.0814074717613591,,,,,,,,,,,,,,,
2023-09-22,5517.0498046875,1097.449951171875,0.4995506857203676,134.7375133883388,5382.312291299161,,0.0788342721436163,,,,,,,,,,,,,,,
2023-09-25,5438.75,1110.550048828125,0.0766534570472507,20.659223914288305,5418.090776085712,,0.0699669481918471,,,,,,,,,,,,,,,
2023-09-26,5467.75,1110.550048828125,0.1787327597653432,48.16740943231525,5419.582590567685,,0.0735103967493434,,,,,,,,,,,,,,,
2023-09-27,5496.4501953125,1132.3499755859375,0.068527151621107,18.450678543375943,5477.999516769124,,0.0767562609410313,,,,,,,,,,,,,,,
2023-09-28,5429.10009765625,1133.050048828125,-0.1884322372482535,-50.7335252958419,5479.833622952092,0.0,0.0757046664817589,,,,,,,,,,,,,,,
2023-09-29,5587.0,1171.25,0.0257485005204285,6.922965646299417,5580.077034353701,,0.0757237934695913,,,,,,,,,,,,,,,
2023-10-03,5461.7001953125,1174.199951171875,-0.4608983169972065,-123.94696695294896,5585.647162265449,,0.0783586512979685,,,,,,,,,,,,,,,
2023-10-04,5417.7998046875,1151.5,-0.3974161598690201,-106.99510960537918,5524.794914292879,,0.0772409171328982,,,,,,,,,,,,,,,
2023-10-05,5407.25,1149.199951171875,-0.4116250888916096,-110.83526795447324,5518.085267954473,,0.0788225454525172,,,,,,,,,,,,,,,
2023-10-06,5424.89990234375,1155.050048828125,-0.4008508483460167,-107.9081705374938,5532.808072881244,,0.0782380668312132,,,,,,,,,,,,,,,
2023-10-09,5494.85009765625,1149.449951171875,-0.0890769676386781,-23.981123797897453,5518.831221454147,,0.076027354316668,,,,,,,,,,,,,,,
2023-10-10,5478.5498046875,1155.449951171875,-0.2087975682547384,-56.19366426427041,5534.74346895177,,0.0813012607241935,,,,,,,,,,,,,,,
2023-10-11,5567.60009765625,1159.8499755859375,0.075026878621729,20.187506763933925,5547.412590892316,,0.0775857423511868,,,,,,,,,,,,,,,
2023-10-12,5530.2001953125,1172.8499755859375,-0.1882676421990736,-50.63919128224643,5580.839386594746,,0.0761476779808456,,,,,,,,,,,,,,,
2023-10-13,5460.2001953125,1187.9000244140625,-0.5872904872553484,-157.9342446461933,5618.134439958693,,0.0772608773429408,,,,,,,,,,,,,,,
2023-10-16,5493.10009765625,1198.300048828125,-0.5608711403181091,-150.7792247269299,5643.87932238318,,0.0677806024529791,,,,,,,,,,,,,,,
2023-10-17,5544.10009765625,1197.6500244140625,-0.3637122712223292,-97.7557311767523,5641.855828833002,,0.0649780474301319,,,,,,,,,,,,,,,
2023-10-18,5677.4501953125,1191.050048828125,0.1863940902380331,50.06358593758159,5627.386609374918,,0.0608756846211564,,,,,,,,,,,,,,,
2023-10-19,5630.89990234375,1200.0,-0.0795841967074784,-21.34776311654241,5652.247665460292,,0.0601092627952288,,,,,,,,,,,,,,,
2023-10-20,5569.2998046875,1179.6500244140625,-0.1158439958232943,-31.06962355702672,5600.369428244527,,0.0571183245765686,,,,,,,,,,,,,,,
2023-10-23,5551.9501953125,1168.0,-0.0727392007266988,-19.49673917083692,5571.446934483337,,0.0626257045848008,,,,,,,,,,,,,,,
2023-10-25,5513.85009765625,1143.699951171875,0.015041877971923,4.029930670089016,5509.820166986161,,0.0589264452020148,,,,,,,,,,,,,,,
2023-10-26,5421.9501953125,1141.5999755859375,-0.3081605042592741,-82.50498127886021,5504.45517659136,,0.0692287319860825,,,,,,,,,,,,,,,
2023-10-27,5397.2998046875,1131.6500244140625,-0.3052130377332775,-81.6668101348805,5478.9666148223805,,0.0656671264222883,,,,,,,,,,,,,,,
2023-10-30,5345.35009765625,1140.3499755859375,-0.5821766994879695,-155.72072378297526,5501.070821439225,,0.0704256776623174,,,,,,,,,,,,,,,
2023-10-31,5367.5498046875,1128.1500244140625,-0.3798905982018831,-101.60784957248144,5469.157654259981,,0.0670847749373315,,,,,,,,,,,,,,,
2023-11-01,5346.4501953125,1132.75,-0.5025239481918404,-134.36019112181384,5480.810386434314,,0.0726982840995371,,,,,,,,,,,,,,,
2023-11-02,5338.5,1169.199951171875,-0.882330174627367,-235.73030860898507,5574.230308608985,,0.0781581575318742,,,,,,,,,,,,,,,
2023-11-03,5263.0498046875,1186.550048828125,-1.3177326802881348,-352.389232176658,5615.439036864158,,0.0938110418502027,,,,,,,,,,,,,,,
2023-11-06,5338.10009765625,1199.300048828125,-1.1474051649507508,-307.02051290352574,5645.120610559776,,0.0856100414019709,,,,,,,,,,,,,,,
2023-11-07,5404.35009765625,1189.699951171875,-0.7983274943867582,-213.7710238343143,5618.121121490564,,0.0719212492247876,,,,,,,,,,,,,,,
2023-11-08,5453.5498046875,1211.0999755859375,-0.8125935752482332,-217.54332954793423,5671.093134235434,,0.076946602981329,,,,,,,,,,,,,,,
2023-11-09,5457.9501953125,1204.550048828125,-0.7254785713188681,-194.3236991603644,5652.273894472864,,0.0731160949364924,,,,,,,,,,,,,,,
2023-11-10,5424.89990234375,1180.1500244140625,-0.607780277432827,-162.96580186014944,5587.865704203899,,0.0711060095832604,,,,,,,,,,,,,,,
2023-11-13,5419.85009765625,1173.25,-0.555866153717189,-149.09727828956056,5568.947375945811,,0.0657874190119266,,,,,,,,,,,,,,,
2023-11-15,5419.9501953125,1170.25,-0.5224659331652065,-140.16833042347935,5560.118525735979,,0.0662898366602756,,,,,,,,,,,,,,,
2023-11-16,5544.25,1194.0,-0.286481300722527,-76.77813822320877,5621.028138223209,,0.0621358004531823,,,,,,,,,,,,,,,
2023-11-17,5611.5498046875,1196.300048828125,-0.0593967401532323,-15.911289969603786,5627.461094657104,,0.0544608831011462,,,,,,,,,,,,,,,
2023-11-20,5604.14990234375,1198.5,-0.1097625723456504,-29.38927734573008,5633.53917968948,,0.0534852162516186,,,,,,,,,,,,,,,
