Dates,ICICIGI.NS Y,BAJFINANCE.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of BAJFINANCE.NS X,Effective Margin of ICICIGI.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of ICICIGI.NS X,Effective Investment of ICICIGI.NS Y,Multiplier X,Multiplier Y
2022-05-02,1283.9000244140625,6626.14990234375,-1.7890772922612894,-163.41209545185438,1447.3121198659169,,,,,,,,,,,,,,,,
2022-05-04,1275.1500244140625,6339.75,-1.7551261639135185,-160.77154803456938,1435.921572448632,,,,,,,,,,,,,,,,
2022-05-05,1289.9000244140625,6309.4501953125,-1.5737316714800922,-144.49796406861196,1434.3979884826745,,,,,,,,,,,,,,,,
2022-05-06,1281.4000244140625,6000.2998046875,-1.5314651031289503,-140.96328832698555,1422.363312741048,,,,,,,,,,,,,,,,
2022-05-09,1264.3499755859375,6036.9501953125,-1.7230487710324351,-159.00586574679164,1423.3558413327291,,,,,,,,,,,,,,,,
2022-05-10,1267.8499755859375,5928.4501953125,-1.632404069646548,-151.0206368167012,1418.8706124026387,,,,,,,,,,,,,,,,
2022-05-11,1284.449951171875,5807.0,-1.3978744246862755,-129.57032320743474,1414.0202743793095,,,,,,,,,,,,,,,,
2022-05-12,1249.0999755859375,5593.39990234375,-1.6846441869873774,-156.57795967264929,1405.6779352585868,,,,,,,,,,,,,,,,
2022-05-13,1280.4000244140625,5515.75,-1.3151158635143554,-122.29786656090027,1402.6978909749628,,,,,,,,,,,,,,,,
2022-05-16,1297.8499755859375,5645.39990234375,-1.176861708429331,-109.56545950920122,1407.4154350951387,,,,,,,,,,,,,,,,
2022-05-17,1311.3499755859375,5837.2998046875,-1.1058829697815906,-103.06432838866384,1414.4143039746014,,,,,,,,,,,,,,,,
2022-05-18,1285.3499755859375,5815.2001953125,-1.370902457259838,-128.00063995825144,1413.350615544189,,,,,,,,,,,,,,,,
2022-05-19,1250.949951171875,5707.0,-1.6885362349514594,-158.1019965242674,1409.0519476961424,,,,,,,,,,,,,,,,
2022-05-20,1251.5999755859375,5769.60009765625,-1.6985465914698288,-159.4852258355254,1411.085201421463,,,,,,,,,,,,,,,,
2022-05-23,1220.8499755859375,5794.0,-2.0238305718177574,-190.78958144601256,1411.63955703195,,,,,,,,,,,,,,,,
2022-05-24,1212.0999755859375,5798.7998046875,-2.104923716953228,-199.32452407612072,1411.4244996620582,,,,,,,,,,,,,,,,
2022-05-25,1249.550048828125,5827.39990234375,-1.7116501456312572,-162.548634597533,1412.098683425658,,,,,,,,,,,,,,,,
2022-05-26,1267.800048828125,5817.7998046875,-1.5088928334802507,-143.6150357215888,1411.4150845497138,,,,,,,,,,,,,,,,
2022-05-27,1260.199951171875,5993.5,-1.6485241074879993,-157.3288944164724,1417.5288455883474,,,,,,,,,,,,,,,,
2022-05-30,1290.300048828125,6111.2001953125,-1.3729289250133685,-131.26899837876226,1421.5690472068873,,,,,,,,,,,,,,,,
2022-05-31,1265.8499755859375,6082.14990234375,-1.6096592659943876,-154.31082884389252,1420.16080442983,,,,,,,,,,,,,,,,
2022-06-01,1252.6500244140625,6010.14990234375,-1.7108972622160763,-164.5033153500217,1417.1533397640842,,,,,,,,,,,,,,,,
2022-06-02,1235.9000244140625,6057.85009765625,-1.8922156298312776,-182.5972007817452,1418.4972251958077,,,,,,,,,,,,,,,,
2022-06-03,1218.300048828125,6028.2001953125,-2.0500289600039547,-198.6586478709112,1416.9586966990362,,,,,,,,,,,,,,,,
2022-06-06,1200.8499755859375,6021.0,-2.211497869115891,-215.35119426475623,1416.2011698506938,,,,,,,,,,,,,,,,
2022-06-07,1151.550048828125,5878.60009765625,-2.6397354911919084,-258.88626092395884,1410.4363097520838,,,,,,,,,,,,,,,,
2022-06-08,1107.699951171875,5954.2998046875,-3.078491071943907,-304.8408534158391,1412.540804587714,,,,,,,,,,,,,,,,
2022-06-09,1125.300048828125,5898.5498046875,-2.850399581784301,-284.56617562337465,1409.8662244514996,,,,,,,,,,,,,,,,
2022-06-10,1121.050048828125,5667.5,-2.7809514510479394,-279.6454751189788,1400.6955239471038,,,,,,,,,,,,,,,,
2022-06-13,1113.949951171875,5358.25,-2.7116309512756294,-274.63483348544014,1388.5847846573151,,,,,,,,,,,,,,,,
2022-06-14,1145.800048828125,5375.75,-2.384911601592396,-242.94638945629072,1388.7464382844155,,,,,,,,,,,,,,,,
2022-06-15,1150.75,5484.9501953125,-2.3583140433256524,-241.59728421593104,1392.347284215931,,,,,,,,,,,,,,,,
2022-06-16,1131.8499755859375,5283.89990234375,-2.4506633644799214,-252.5714856813163,1384.4214612672538,,,,,,,,,,,,,,,,
2022-06-17,1113.199951171875,5419.5498046875,-2.655878167341517,-275.704934882069,1388.904886053944,,,,,,,,,,,,,,,,
2022-06-20,1126.3499755859375,5470.4501953125,-2.5257601111399954,-263.90936103164404,1390.2593366175815,,,,,,,,,,,,,,,,
2022-06-21,1141.0,5549.14990234375,-2.3952711906983373,-251.7298821839572,1392.7298821839572,,,,,,,,,,,,,,,,
2022-06-22,1134.949951171875,5439.60009765625,-2.396161148713491,-253.2703983476001,1388.2203495194751,,,,,,,,,,,,,,,,
2022-06-23,1125.25,5448.14990234375,-2.4722911301461616,-262.88296266394855,1388.1329626639483,,,,,,,,,,,,,,,,
2022-06-24,1120.3499755859375,5587.75,-2.5455439083894427,-272.4564728117118,1392.806448397649,,,,,,,,,,,,,,,,
2022-06-27,1133.300048828125,5641.2001953125,-2.4242986746209896,-261.01859271679655,1394.3186415449215,,,,,,,,,,,,,,,,
2022-06-28,1118.25,5576.25,-2.520434441450513,-273.12823762318453,1391.3782376231843,,,,,,,,,,,,,,,,
2022-06-29,1111.5999755859375,5512.7998046875,-2.538591814490967,-276.8997515240435,1388.499727109981,,,,,,,,,,,,,,,,
