Dates,SIEMENS.NS Y,ABB.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of ABB.NS X,Effective Margin of SIEMENS.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of SIEMENS.NS X,Effective Investment of SIEMENS.NS Y,Multiplier X,Multiplier Y
2023-08-16,3607.35009765625,4299.85009765625,-1.1758976826256589,-154.03814333539594,3761.388240991646,,0.0039002808238774,,,,,,,,,,,,,,,
2023-08-17,3576.050048828125,4313.7001953125,-1.4722155728651436,-193.02760312343344,3769.0776519515584,,0.0052174670208307,,,,,,,,,,,,,,,
2023-08-18,3606.10009765625,4279.5,-1.065319756006092,-139.75306306422408,3745.853160720474,,0.0037731926597725,,,,,,,,,,,,,,,
2023-08-21,3652.85009765625,4317.2001953125,-0.8925624166198748,-117.02903979303072,3769.8791374492807,,0.0039084425580436,,,,,,,,,,,,,,,
2023-08-22,3663.64990234375,4324.2998046875,-0.8403633626336504,-110.1874954455934,3773.837397789344,,0.0036116607966267,,,,,,,,,,,,,,,
2023-08-23,3718.35009765625,4302.60009765625,-0.3158351466786835,-41.38288562703747,3759.732983283288,,0.003653773588481,,,,,,,,,,,,,,,
2023-08-24,3803.60009765625,4336.9501953125,0.1604229597004594,21.01220432144873,3782.587893334801,,0.003539821437831,,,,,,,,,,,,,,,
2023-08-25,3786.949951171875,4244.5,0.4890653629098271,64.09442614022737,3722.855525031648,,0.0034622281954901,,,,,,,,,,,,,,,
2023-08-28,3847.0,4264.10009765625,0.8399799218091522,110.1078703064586,3736.892129693541,,0.0035782261330314,,,,,,,,,,,,,,,
2023-08-29,3865.35009765625,4318.85009765625,0.6977284529280714,91.42181932304992,3773.9282783332,,0.003440389351091,,,,,,,,,,,,,,,
2023-08-30,3866.85009765625,4345.9501953125,0.5660468350250124,74.13991866723018,3792.71017898902,,0.0031551059985177,,,,,,,,,,,,,,,
2023-08-31,3922.10009765625,4381.5498046875,0.798879338399675,104.60850730722768,3817.4915903490223,,0.0037190616449854,,,,,,,,,,,,,,,
2023-09-01,3887.050048828125,4291.4501953125,0.9721219414922057,127.43145294122225,3759.618595886903,,0.0042545536949732,,,,,,,,,,,,,,,
2023-09-04,3892.25,4309.2998046875,0.9122870120294112,119.66831004737196,3772.581689952628,,0.0041933613110241,,,,,,,,,,,,,,,
2023-09-05,3900.35009765625,4440.7998046875,0.3092619507664565,40.541711074082286,3859.808386582168,,0.0032743251854802,,,,,,,,,,,,,,,
2023-09-06,3944.800048828125,4500.2998046875,0.3436546257704393,45.03189854027687,3899.768150287848,,0.0033688188914525,,,,,,,,,,,,,,,
2023-09-07,3939.949951171875,4448.60009765625,0.5597521161497958,73.38494721396819,3866.565003957907,,0.0036328345772345,,,,,,,,,,,,,,,
2023-09-08,3945.60009765625,4458.5498046875,0.5465442809853864,71.67317598744012,3873.92692166881,,0.0036195139862637,,,,,,,,,,,,,,,
2023-09-11,3954.75,4618.85009765625,-0.1901276579621953,-24.912958492738653,3979.662958492738,,0.0032115637017624,,,,,,,,,,,,,,,
2023-09-12,3839.89990234375,4401.89990234375,0.0270463632195861,3.5481875862728884,3836.351714757477,,0.0031289977825221,,,,,,,,,,,,,,,
2023-09-13,3828.64990234375,4341.10009765625,0.2445782808294902,32.09611206157615,3796.553790282174,,0.0032600443556466,,,,,,,,,,,,,,,
2023-09-14,3828.14990234375,4366.2001953125,0.1139633626607627,14.953625923992604,3813.196276419757,,0.003282994607862,,,,,,,,,,,,,,,
2023-09-15,3810.85009765625,4379.39990234375,-0.083722379841064,-10.985346989812117,3821.835444646062,,0.0032648893621049,,,,,,,,,,,,,,,
2023-09-18,3778.75,4320.2998046875,-0.0303090844116737,-3.978127454560763,3782.7281274545608,,0.0032514078002052,,,,,,,,,,,,,,,
2023-09-20,3774.10009765625,4329.0498046875,-0.1085244869831427,-14.243812836883537,3788.3439104931335,,0.0031882682033495,,,,,,,,,,,,,,,
2023-09-21,3740.0,4276.2001953125,-0.1004283384956029,-13.182974693837425,3753.182974693837,,0.003148282670099,,,,,,,,,,,,,,,
2023-09-22,3689.050048828125,4187.0,-0.0382604422353687,-5.0233972640085085,3694.0734460921335,,0.0033074429423555,,,,,,,,,,,,,,,
2023-09-25,3694.60009765625,4176.89990234375,0.0547672130758486,7.190993489487028,3687.409104166763,,0.0033220054664396,,,,,,,,,,,,,,,
2023-09-26,3680.300048828125,4205.2001953125,-0.1950670405530283,-25.611129483483182,3705.911178311608,,0.0032942457656953,,,,,,,,,,,,,,,
2023-09-27,3725.550048828125,4233.35009765625,0.0085741495646688,1.1255510885553122,3724.4244977395697,,0.0033179990046294,,,,,,,,,,,,,,,
2023-09-28,3626.550048828125,4101.7001953125,-0.0827176117911652,-10.864361729866689,3637.414410557992,,0.0032637709599352,,,,,,,,,,,,,,,
2023-09-29,3672.5,4098.25,0.281864612591144,37.01698572243004,3635.48301427757,,0.0031435016945776,,,,,,,,,,,,,,,
2023-10-03,3569.64990234375,4091.949951171875,-0.4679527355457293,-61.4493613442628,3631.099263688013,,0.003315925058601,,,,,,,,,,,,,,,
2023-10-04,3501.39990234375,3997.5,-0.5098715431201767,-66.99085299919898,3568.390755342949,,0.0031979236678294,,,,,,,,,,,,,,,
2023-10-05,3519.699951171875,4067.800048828125,-0.7208185587815885,-94.70593943029871,3614.4058906021737,,0.0033327755147834,,,,,,,,,,,,,,,
2023-10-06,3533.0,4133.10009765625,-0.942969621925914,-123.9312773949314,3656.9312773949314,,0.003468000731898,,,,,,,,,,,,,,,
2023-10-09,3541.949951171875,4099.7001953125,-0.7044211732889266,-92.5845275222755,3634.5344786941514,,0.0028530627896974,,,,,,,,,,,,,,,
2023-10-10,3591.050048828125,4192.7001953125,-0.7958139106843887,-104.52299062125712,3695.573039449382,,0.0029494075884559,,,,,,,,,,,,,,,
2023-10-11,3558.5,4185.39990234375,-1.002755833923546,-131.71387257468405,3690.213872574684,,0.0030519334618265,,,,,,,,,,,,,,,
2023-10-12,3601.0,4216.0498046875,-0.8309689375068048,-109.08557019558975,3710.0855701955898,,0.0029162375576449,,,,,,,,,,,,,,,
2023-10-13,3592.199951171875,4229.2001953125,-0.9603541787561892,-126.054968177913,3718.254919349788,,0.0026614689428282,,,,,,,,,,,,,,,
2023-10-16,3602.050048828125,4281.4501953125,-1.1440680074608842,-150.09255325942877,3752.1426020875538,,0.0041616573720481,,,,,,,,,,,,,,,
2023-10-17,3593.050048828125,4283.60009765625,-1.2150043086785294,-159.58378356318826,3752.633832391313,,0.0048157724868237,,,,,,,,,,,,,,,
