Dates,HINDCOPPER.NS Y,COALINDIA.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of COALINDIA.NS X,Effective Margin of HINDCOPPER.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of HINDCOPPER.NS X,Effective Investment of HINDCOPPER.NS Y,Multiplier X,Multiplier Y
2023-07-04,117.1500015258789,231.8000030517578,0.7698682754197369,9.333083126025116,107.8169183998538,,0.0039380342808632,,,,,,,,,,,,,,,
2023-07-05,116.3000030517578,231.3999938964844,0.6900478140685502,8.341262795230762,107.95874025652704,,0.003736332944645,,,,,,,,,,,,,,,
2023-07-06,122.0,234.6000061035156,1.2043948762849086,14.531081016954872,107.46891898304511,,0.0052191148526415,,,,,,,,,,,,,,,
2023-07-07,119.5,234.0,0.9829063803716578,11.833631185411235,107.66636881458876,,0.00445971862768,,,,,,,,,,,,,,,
2023-07-10,118.0,233.75,0.8499250329773207,10.211462671049077,107.78853732895092,,0.0045176643171001,,,,,,,,,,,,,,,
2023-07-11,118.8499984741211,234.0,0.9192493595335492,11.021773009122144,107.82822546499897,,0.0054561224549434,,,,,,,,,,,,,,,
2023-07-12,119.5500030517578,234.3999938964844,0.9776987583754074,11.703246691076655,107.84675636068116,,0.0069673570765251,,,,,,,,,,,,,,,
2023-07-13,117.25,229.8999938964844,0.7169505496263867,8.571632525255978,108.67836747474402,,0.0055585472034206,,,,,,,,,,,,,,,
2023-07-14,120.0999984741211,231.0500030517578,0.9661792588373646,11.546770706730229,108.55322776739088,,0.0043417188572367,,,,,,,,,,,,,,,
2023-07-17,122.5999984741211,230.1999969482422,1.1571905076280495,13.827167861767691,108.7728306123534,,0.0034591703461226,,,,,,,,,,,,,,,
2023-07-18,119.9499969482422,228.25,0.904960028269596,10.788193539026524,109.16180340921566,,0.0019714396285177,,,,,,,,,,,,,,,
2023-07-19,119.8000030517578,228.6000061035156,0.8945639106643202,10.621339162025976,109.17866388973184,,0.0043656363852177,,,,,,,,,,,,,,,
2023-07-20,119.6999969482422,229.75,0.8993741773880811,10.61686871458906,109.08312823365311,,0.0017268350747401,,,,,,,,,,,,,,,
2023-07-21,119.9499969482422,229.0,0.9082588519984856,10.674252025795552,109.27574492244663,,0.0013566609558204,,,,,,,,,,,,,,,
2023-07-24,118.1500015258789,230.9499969482422,0.7775847587722676,9.081569156640654,109.06843236923824,,0.0012482262960339,,,,,,,,,,,,,,,
2023-07-25,124.5500030517578,229.9499969482422,1.3113719492654263,15.227184020090364,109.32281903166744,,0.0036851683949883,,,,,,,,,,,,,,,
2023-07-26,126.1500015258789,230.5,1.4538693969275795,16.790452100241197,109.35954942563772,,0.0035980499282815,,,,,,,,,,,,,,,
2023-07-27,127.75,229.0500030517578,1.5714943163902184,18.0834339172996,109.6665660827004,,0.0044580271499196,,,,,,,,,,,,,,,
2023-07-28,127.8499984741211,227.1000061035156,1.5531770924180757,17.831607912759466,110.01839056136164,,0.0040416351990429,,,,,,,,,,,,,,,
2023-07-31,141.10000610351562,229.25,2.710005471534605,31.21008231204944,109.8899237914662,1.0,0.0256901436524971,,,,,,,,,,,,,,,
2023-08-01,150.39999389648438,240.3500061035156,3.584550895582574,41.6127127500362,108.78728114644818,,0.0798581844863082,,,,,,,,,,,,,,,
2023-08-02,146.85000610351562,234.5500030517578,3.1744650339600606,37.16876753151473,109.6812385720009,,0.0511527806887793,,,,,,,,,,,,,,,
2023-08-03,151.14999389648438,230.0500030517578,3.441618705762546,40.78091993975572,110.36907395672866,,0.0774188103350669,,,,,,,,,,,,,,,
