Dates,DLF.NS Y,GODREJPROP.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of GODREJPROP.NS X,Effective Margin of DLF.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of DLF.NS X,Effective Investment of DLF.NS Y,Multiplier X,Multiplier Y
2023-09-13,529.0,1642.1500244140625,2.5416877209847057,124.93970206595468,404.0602979340453,,0.8292536552102362,,,,,,,,,,,,,,,
2023-09-14,537.3499755859375,1674.199951171875,2.649986401751756,131.04628268819715,406.3036928977404,,0.8850808055451918,,,,,,,,,,,,,,,
2023-09-15,532.4000244140625,1660.8499755859375,2.539935543175337,126.38440312729864,406.0156212867639,,0.8776746822238248,,,,,,,,,,,,,,,
2023-09-18,529.4000244140625,1621.3499755859375,2.500672724683296,125.2112169023202,404.1888075117423,,0.8776476202543457,,,,,,,,,,,,,,,
2023-09-20,522.3499755859375,1588.4000244140625,2.376824308891286,119.6859375076155,402.664038078322,,0.8532498136078237,,,,,,,,,,,,,,,
2023-09-21,516.9000244140625,1553.5999755859375,2.2898069726679906,115.89047870008898,401.0095457139735,,0.8355605882445878,,,,,,,,,,,,,,,
2023-09-22,516.5499877929688,1538.800048828125,2.281963664303087,116.06090627004464,400.4890815229241,,0.8443750835377499,,,,,,,,,,,,,,,
2023-09-25,522.0999755859375,1595.8499755859375,2.307288505278847,117.94550965364044,404.15446593229706,,0.8568401648813889,,,,,,,,,,,,,,,
2023-09-26,520.2999877929688,1572.0999755859375,2.281134847450244,117.20967941193204,403.0903083810367,,0.8560375721960622,,,,,,,,,,,,,,,
2023-09-27,528.7000122070312,1580.3499755859375,2.4143369135871464,124.76844457222272,403.9315676348085,,0.8790189561853812,,,,,,,,,,,,,,,
2023-09-28,520.0999755859375,1537.0999755859375,2.2800296409247958,118.42165717768916,401.67831840824834,,0.8493588389854094,,,,,,,,,,,,,,,
2023-09-29,530.9000244140625,1554.0999755859375,2.447166888892045,127.8102925506775,403.089731863385,,0.885788748068264,,,,,,,,,,,,,,,
2023-10-03,538.75,1555.699951171875,2.57156628636322,135.1524014424371,403.5975985575629,,0.9087734028497336,,,,,,,,,,,,,,,
2023-10-04,525.75,1565.75,2.29379153944475,121.1397847734728,404.6102152265272,,0.8711425673255515,,,,,,,,,,,,,,,
2023-10-05,525.0,1599.3499755859375,2.221776049686426,117.88365532115824,407.11634467884176,,0.8605967174669628,,,,,,,,,,,,,,,
2023-10-06,548.7000122070312,1675.0,2.5514792835530296,136.20177501482436,412.4982371922069,,0.9129206872545584,,,,,,,,,,,,,,,
2023-10-09,540.8499755859375,1630.6500244140625,2.43461738261329,130.71511809151218,410.1348574944253,,0.9012317805251436,,,,,,,,,,,,,,,
2023-10-10,561.75,1722.75,2.679378972812287,144.80611241509382,416.9438875849062,,0.939334883337832,,,,,,,,,,,,,,,
2023-10-11,565.2999877929688,1727.449951171875,2.706261041741625,147.31620110741272,417.983786685556,,0.936576134584308,,,,,,,,,,,,,,,
2023-10-12,567.0499877929688,1701.4000244140625,2.7373996289684555,150.05421007554048,416.99577771742827,,0.9452169868258702,,,,,,,,,,,,,,,
2023-10-13,568.4000244140625,1688.199951171875,2.7458760416133354,151.582117190678,416.8179072233845,,0.9458154678540144,,,,,,,,,,,,,,,
2023-10-16,567.0999755859375,1701.1500244140625,2.673557659384385,148.5251974796921,418.5747781062454,,0.940661005061582,,,,,,,,,,,,,,,
2023-10-17,567.1500244140625,1707.5,2.634217042707694,147.23873431516552,419.911290098897,,0.9318314561927924,,,,,,,,,,,,,,,
2023-10-18,567.3499755859375,1675.9000244140625,2.649913254399228,149.01910096794086,418.33087461799664,,0.9440717807963868,,,,,,,,,,,,,,,
2023-10-19,560.0999755859375,1677.800048828125,2.4908526293761484,140.82644418590718,419.2735314000303,,0.9208052202692436,,,,,,,,,,,,,,,
2023-10-20,552.2000122070312,1649.5,2.366747304471638,134.43185948822736,417.7681527188039,,0.8895434612506543,,,,,,,,,,,,,,,
2023-10-23,532.9500122070312,1630.199951171875,2.0380210904504072,116.06696984814766,416.8830423588836,,0.828839899789233,,,,,,,,,,,,,,,
2023-10-25,530.1500244140625,1582.0,2.044064992540888,116.75156497265704,413.3984594414055,,0.8313597096216603,,,,,,,,,,,,,,,
