Dates,IDFCFIRSTB.NS Y,IDFC.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of IDFC.NS X,Effective Margin of IDFCFIRSTB.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of IDFCFIRSTB.NS X,Effective Investment of IDFCFIRSTB.NS Y,Multiplier X,Multiplier Y
2023-07-31,87.19999694824219,118.75,0.968467922807632,4.0883393675649415,83.11165758067725,,0.1144812846945215,,,,,,,,,,,,,,,
2023-08-01,88.5,120.1999969482422,1.0346993371298827,4.356223444970297,84.1437765550297,,0.1445168630193287,,,,,,,,,,,,,,,
2023-08-02,87.0999984741211,117.8499984741211,1.0374307709163746,4.365384159560293,82.7346143145608,,0.1104156985698012,,,,,,,,,,,,,,,
2023-08-03,86.94999694824219,118.4000015258789,0.8989668009578018,3.7717465877196616,83.17825036052253,,0.1467789836159247,,,,,,,,,,,,,,,
2023-08-04,87.44999694824219,118.5999984741211,0.9675240037810564,4.054616291636279,83.39538065660591,,0.1495400838141596,,,,,,,,,,,,,,,
2023-08-07,87.6500015258789,119.4499969482422,0.8648711779264077,3.61879594275176,84.03120558312715,,0.1301960887531884,,,,,,,,,,,,,,,
2023-08-08,87.44999694824219,118.8499984741211,0.8910096313107013,3.722756158099088,83.7272407901431,,0.1388303543652526,,,,,,,,,,,,,,,
2023-08-09,88.1500015258789,119.3499984741211,0.9604528700201682,4.007445739197735,84.14255578668117,,0.1362842513609691,,,,,,,,,,,,,,,
2023-08-10,87.55000305175781,118.3499984741211,0.9530055152277592,3.972023767296548,83.57797928446126,,0.1298335983308423,,,,,,,,,,,,,,,
2023-08-11,88.1500015258789,118.25,1.090514592218873,4.539581683559504,83.6104198423194,,0.1241458303934809,,,,,,,,,,,,,,,
2023-08-14,88.1500015258789,118.5500030517578,1.021479586166801,4.244125397319863,83.90587612855904,,0.1171493323907758,,,,,,,,,,,,,,,
2023-08-16,88.3499984741211,119.0500030517578,0.9697803999387244,4.020879876377137,84.32911859774396,,0.1178330554045262,,,,,,,,,,,,,,,
2023-08-17,88.55000305175781,119.1500015258789,0.9796859452172912,4.054739265169033,84.49526378658878,,0.1436236672448521,,,,,,,,,,,,,,,
2023-08-18,88.94999694824219,119.1500015258789,1.0538740980460095,4.358748903164326,84.59124804507786,,0.1271418988036574,,,,,,,,,,,,,,,
2023-08-21,89.69999694824219,121.3000030517578,0.8696175425841084,3.5883698396367123,86.11162710860548,,0.1318954719077608,,,,,,,,,,,,,,,
2023-08-22,91.9499969482422,123.0999984741211,1.099681155762124,4.532376379558258,87.41762056868393,,0.1511161047926426,,,,,,,,,,,,,,,
2023-08-23,92.25,124.4000015258789,0.9395012263044964,3.8679409975080574,88.38205900249194,,0.146747331038485,,,,,,,,,,,,,,,
2023-08-24,91.4499969482422,122.5999984741211,1.016328163813974,4.184968815550377,87.26502813269181,,0.162297848811292,,,,,,,,,,,,,,,
2023-08-25,91.0999984741211,121.0500030517578,1.1622310697305205,4.78939108769147,86.31060738642962,,0.172027890563739,,,,,,,,,,,,,,,
2023-08-28,91.0500030517578,120.9000015258789,1.153264652845483,4.754163422346636,86.29583962941118,,0.1514738034325796,,,,,,,,,,,,,,,
2023-08-29,90.3000030517578,120.1999969482422,1.066854129502436,4.396648117377083,85.90335493438073,,0.1363925114097643,,,,,,,,,,,,,,,
2023-08-30,92.25,122.4000015258789,1.1570297195331267,4.763072067178626,87.48692793282137,,0.1304609614421912,,,,,,,,,,,,,,,
2023-08-31,93.3499984741211,121.75,1.5041541530953852,6.193501259155269,87.15649721496582,,0.145095875187006,,,,,,,,,,,,,,,
2023-09-01,93.4000015258789,123.5,1.203798457271397,4.949218740073093,88.45078278580581,,0.1034805301665438,,,,,,,,,,,,,,,
2023-09-04,98.4499969482422,129.25,1.445584057337028,5.927872202910706,92.52212474533148,,0.143058530541345,,,,,,,,,,,,,,,
2023-09-05,99.1999969482422,128.0500030517578,1.79040372621566,7.351958475765571,91.84803847247662,,0.1948263752453902,,,,,,,,,,,,,,,
2023-09-06,97.6500015258789,127.1999969482422,1.5251268291888431,6.268240561214867,91.38176096466404,,0.1906428221539773,,,,,,,,,,,,,,,
2023-09-07,95.8000030517578,128.10000610351562,0.9062960085563696,3.723539274676,92.0764637770818,,0.1002621715497518,,,,,,,,,,,,,,,
2023-09-08,95.3499984741211,129.10000610351562,0.6145101784489273,2.5188141239239883,92.8311843501971,,0.0672996060290982,,,,,,,,,,,,,,,
2023-09-11,96.5500030517578,129.5500030517578,0.8137376751448657,3.325187679711334,93.22481537204648,,0.0748678605867883,,,,,,,,,,,,,,,
2023-09-12,93.4499969482422,124.5500030517578,0.8913799751609304,3.637634302321217,89.81236264592097,,0.0899922912429981,,,,,,,,,,,,,,,
2023-09-13,93.0999984741211,124.4000015258789,0.8181085798504674,3.331998905145184,89.76799956897591,,0.0841893250451483,,,,,,,,,,,,,,,
2023-09-14,93.6500015258789,125.5500030517578,0.7429393951797575,3.0182968798894905,90.63170464598942,,0.0694494206263897,,,,,,,,,,,,,,,
2023-09-15,94.5500030517578,126.4499969482422,0.7954807473369183,3.222151903255778,91.32785114850203,,0.0815591650231419,,,,,,,,,,,,,,,
2023-09-18,93.1500015258789,125.8499984741211,0.5435226686127136,2.19650820490601,90.9534933209729,,0.0697426953818072,,,,,,,,,,,,,,,
2023-09-20,93.5999984741211,127.3499984741211,0.385663261002115,1.5536374437184577,92.04636103040264,,0.091057970445989,,,,,,,,,,,,,,,
2023-09-21,93.4000015258789,126.8000030517578,0.4236157189186729,1.7041888142471606,91.69581271163176,,0.0804887076599784,,,,,,,,,,,,,,,
2023-09-22,93.5999984741211,125.6999969482422,0.6543328195587224,2.628331400892165,90.97166707322891,,0.0928644796052498,,,,,,,,,,,,,,,
2023-09-25,94.3000030517578,127.1500015258789,0.563873924836827,2.260994790107219,92.0390082616506,,0.0626991415276835,,,,,,,,,,,,,,,
2023-09-26,95.5500030517578,128.4499969482422,0.6349763203932745,2.537874904430666,93.01212814732716,,0.0741693177614859,,,,,,,,,,,,,,,
2023-09-27,97.5500030517578,130.6999969482422,0.7238146997225341,2.8853026901102794,94.66470036164752,,0.0631268526051819,,,,,,,,,,,,,,,
2023-09-28,94.5500030517578,127.1500015258789,0.5905950658748584,2.348990224201728,92.20101282755608,,0.0556008569432004,,,,,,,,,,,,,,,
2023-09-29,95.5,128.85000610351562,0.515592030861041,2.043019623288771,93.45698037671124,,0.0462585851305366,,,,,,,,,,,,,,,
2023-10-03,94.1500015258789,127.9000015258789,0.3365281527717659,1.328330581040575,92.82167094483832,,0.0442880528469758,,,,,,,,,,,,,,,
2023-10-04,91.75,124.0500030517578,0.4140479573674354,1.6291802050181587,90.12081979498184,,0.0406070460123825,,,,,,,,,,,,,,,
2023-10-05,91.9499969482422,123.6999969482422,0.5196086211616344,2.0362581393775514,89.91373880886464,,0.0361527171662354,,,,,,,,,,,,,,,
2023-10-06,91.4000015258789,124.4000015258789,0.2447946515069885,0.954621147085021,90.44538037879389,,0.0340885751361056,,,,,,,,,,,,,,,
