Dates,ULTRACEMCO.NS Y,DALBHARAT.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of DALBHARAT.NS X,Effective Margin of ULTRACEMCO.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of ULTRACEMCO.NS X,Effective Investment of ULTRACEMCO.NS Y,Multiplier X,Multiplier Y
2022-05-18,6233.75,1422.199951171875,0.7764317277512545,239.47843503084368,5994.271564969156,,,,,,,,,,,,,,,,
2022-05-19,6072.60009765625,1369.1500244140625,0.6959402764892902,214.74501555092135,5857.855082105329,,,,,,,,,,,,,,,,
2022-05-20,6128.64990234375,1399.5,0.6238792677641705,192.5418935938569,5936.108008749893,,,,,,,,,,,,,,,,
2022-05-23,5916.2998046875,1367.25,0.2051508554278565,63.31423100339816,5852.985573684102,,,,,,,,,,,,,,,,
2022-05-24,5868.0498046875,1322.449951171875,0.422494455939862,130.40791115742286,5737.641893530077,,,,,,,,,,,,,,,,
2022-05-25,5792.2001953125,1290.800048828125,0.44174292964319,136.3393310525198,5655.86086425998,,,,,,,,,,,,,,,,
2022-05-26,5874.25,1334.25,0.3440338292215834,106.19840294893856,5768.051597051061,,,,,,,,,,,,,,,,
2022-05-27,5948.0,1334.9000244140625,0.5765688215745417,178.03370427923073,5769.966295720769,,,,,,,,,,,,,,,,
2022-05-30,6102.64990234375,1374.0999755859375,0.7485221975331332,231.25624969991804,5871.393652643832,,,,,,,,,,,,,,,,
2022-05-31,6082.60009765625,1362.5,0.778634907907285,240.70302282704145,5841.897074829209,,,,,,,,,,,,,,,,
2022-06-01,5975.64990234375,1362.4000244140625,0.4332434915313716,133.9469845703561,5841.702917773394,,,,,,,,,,,,,,,,
2022-06-02,6007.85009765625,1373.75,0.4415427301834786,136.54069688643267,5871.309400769817,,,,,,,,,,,,,,,,
2022-06-03,5678.85009765625,1252.800048828125,0.3860849563159951,119.39037370216283,5559.459723954087,,,,,,,,,,,,,,,,
2022-06-06,5581.35009765625,1282.699951171875,-0.1781899711043001,-55.1065887575669,5636.456686413817,,,,,,,,,,,,,,,,
2022-06-07,5555.2001953125,1237.75,0.1110679934431285,34.34381783283334,5520.856377479667,,,,,,,,,,,,,,,,
2022-06-08,5531.85009765625,1269.699951171875,-0.2303789420841549,-71.2441742771116,5603.094271933362,,,,,,,,,,,,,,,,
2022-06-09,5481.89990234375,1294.25,-0.5954056546091155,-184.1992965934478,5666.099198937198,,,,,,,,,,,,,,,,
2022-06-10,5511.0498046875,1288.300048828125,-0.4505499816849134,-139.4123436631453,5650.462148350645,,,,,,,,,,,,,,,,
2022-06-13,5356.14990234375,1261.0,-0.7212660361871809,-223.28511227311992,5579.43501461687,,,,,,,,,,,,,,,,
2022-06-14,5428.60009765625,1285.25,-0.6870079669173642,-212.7866196869072,5641.386717343157,,,,,,,,,,,,,,,,
2022-06-15,5454.14990234375,1280.800048828125,-0.5663221433350878,-175.45938394150107,5629.609286285251,,,,,,,,,,,,,,,,
2022-06-16,5305.25,1252.3499755859375,-0.8077054356101728,-250.3947747896409,5555.644774789641,,,,,,,,,,,,,,,,
2022-06-17,5177.2998046875,1259.4000244140625,-1.2751670261443362,-395.9272013254822,5573.227006012982,,,,,,,,,,,,,,,,
2022-06-20,5333.2998046875,1253.4000244140625,-0.7245518991172059,-224.8961143265069,5558.195919014007,,,,,,,,,,,,,,,,
2022-06-21,5418.89990234375,1258.199951171875,-0.492027486913221,-152.56165095631513,5571.461553300065,,,,,,,,,,,,,,,,
2022-06-22,5409.9501953125,1246.949951171875,-0.4297709987853276,-133.17513355229312,5543.125328864793,,,,,,,,,,,,,,,,
2022-06-23,5410.2998046875,1252.550048828125,-0.4782981207003123,-148.08117034417864,5558.380975031679,,,,,,,,,,,,,,,,
2022-06-24,5468.2998046875,1296.5,-0.6566892927256748,-203.35130453489185,5671.651109222392,,,,,,,,,,,,,,,,
2022-06-27,5560.25,1302.5999755859375,-0.4121573088705488,-127.57986304790212,5687.829863047902,,,,,,,,,,,,,,,,
2022-06-28,5572.75,1302.4000244140625,-0.3719372358799688,-115.07985950787406,5687.829859507874,,,,,,,,,,,,,,,,
2022-06-29,5618.2998046875,1289.550048828125,-0.1210240502847439,-37.41167451206184,5655.711479199562,,,,,,,,,,,,,,,,
2022-06-30,5607.2998046875,1283.6500244140625,-0.1103292605676156,-34.08136559124614,5641.381170278746,,,,,,,,,,,,,,,,
2022-07-01,5691.7001953125,1326.8499755859375,-0.1993323753224734,-61.50944578103372,5753.209641093534,,,,,,,,,,,,,,,,
2022-07-04,5709.0498046875,1317.800048828125,-0.0719982685637706,-22.181335138613576,5731.231139826114,,,,,,,,,,,,,,,,
2022-07-05,5729.9501953125,1301.949951171875,0.1240725679970348,38.18657934050316,5691.763615971997,,,,,,,,,,,,,,,,
2022-07-06,5828.0498046875,1381.5,-0.221892570226761,-68.21407575986905,5896.263880447369,,,,,,,,,,,,,,,,
2022-07-07,5838.85009765625,1453.1500244140625,-0.7845126439269647,-241.0024354332836,6079.852533089534,,,,,,,,,,,,,,,,
2022-07-08,5839.10009765625,1433.6500244140625,-0.6241646916465412,-191.51503286331263,6030.615130519563,,,,,,,,,,,,,,,,
2022-07-11,5854.25,1450.5,-0.7167243120256714,-219.75040236458065,6074.000402364581,,,,,,,,,,,,,,,,
2022-07-12,5778.85009765625,1438.1500244140625,-0.8611445868721974,-263.9350051469919,6042.785102803242,,,,,,,,,,,,,,,,
2022-07-13,5798.9501953125,1477.1500244140625,-1.119516866290727,-343.1901899824097,6142.14038529491,,,,,,,,,,,,,,,,
2022-07-14,5735.0498046875,1440.0999755859375,-1.0213777240127233,-313.0340044344566,6048.083809121957,,,,,,,,,,,,,,,,
2022-07-15,5807.0498046875,1448.3499755859375,-0.8559194693031585,-262.2464247782545,6069.296229465755,,,,,,,,,,,,,,,,
2022-07-18,5982.39990234375,1490.4000244140625,-0.6342908839748113,-194.12932536882815,6176.529227712578,,,,,,,,,,,,,,,,
2022-07-19,6085.85009765625,1514.699951171875,-0.4999334412839357,-152.80036642379855,6238.650464080049,,,,,,,,,,,,,,,,
2022-07-20,6089.0,1512.9000244140625,-0.4772927144489162,-145.64081763518607,6234.640817635186,,,,,,,,,,,,,,,,
