Dates,IGL.NS Y,MGL.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of MGL.NS X,Effective Margin of IGL.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of IGL.NS X,Effective Investment of IGL.NS Y,Multiplier X,Multiplier Y
2022-04-20,375.5,811.5,-0.7326476670972605,-24.14063253035596,399.640632530356,,,,,,,,,,,,,,,,
2022-04-21,380.4500122070313,825.5499877929688,-0.7403394571689318,-24.414756920826903,404.86476912785815,,,,,,,,,,,,,,,,
2022-04-22,376.7000122070313,823.8499755859375,-0.8287851717694392,-27.349307205657738,404.049319412689,,,,,,,,,,,,,,,,
2022-04-25,372.1499938964844,808.0,-0.7772745811673577,-25.654349308910582,397.80434320539496,,,,,,,,,,,,,,,,
2022-04-26,381.4500122070313,822.4000244140625,-0.6563621446106349,-21.6668165062884,403.1168287133197,,,,,,,,,,,,,,,,
2022-04-27,373.9500122070313,834.7999877929688,-1.0200798540540872,-33.70912319615309,407.65913540318434,,,,,,,,,,,,,,,,
2022-04-28,376.4500122070313,825.8499755859375,-0.833885478701958,-27.560041367564335,404.0100535745956,,,,,,,,,,,,,,,,
2022-04-29,352.3999938964844,769.2000122070312,-0.8928420524149925,-29.475059268771474,381.8750531652559,,,,,,,,,,,,,,,,
2022-05-02,350.29998779296875,771.4000244140625,-0.9696714426565708,-32.00143299397183,382.3014207869406,,,,,,,,,,,,,,,,
2022-05-04,346.8999938964844,766.7999877929688,-1.0045945954473108,-33.11706343460099,380.01705733108537,,,,,,,,,,,,,,,,
2022-05-05,347.54998779296875,766.2999877929688,-0.9639049193074204,-31.71200233372349,379.2619901266922,,,,,,,,,,,,,,,,
2022-05-06,348.95001220703125,763.9500122070312,-0.8804299153239128,-28.874850613582566,377.8248628206138,,,,,,,,,,,,,,,,
2022-05-09,354.3500061035156,762.4000244140625,-0.6866674866784994,-22.48327766159207,376.8332837651077,,,,,,,,,,,,,,,,
2022-05-10,347.25,747.2000122070312,-0.7116713845225088,-23.280833560402694,370.5308335604027,,,,,,,,,,,,,,,,
2022-05-11,350.54998779296875,764.5999755859375,-0.8093774265187711,-26.484122205564404,377.0341099985332,,,,,,,,,,,,,,,,
2022-05-12,345.95001220703125,748.1500244140625,-0.7416728030351637,-24.253465779315945,370.2034779863472,,,,,,,,,,,,,,,,
2022-05-13,372.6499938964844,740.5,0.1693883982218347,5.53571156596945,367.1142823305149,,,,,,,,,,,,,,,,
2022-05-16,377.5499877929688,760.0999755859375,0.0852329161628769,2.785267531164891,374.7647202618039,,,,,,,,,,,,,,,,
2022-05-17,386.5499877929688,766.7000122070312,0.2821106767747132,9.215849355182172,377.3341384377866,,,,,,,,,,,,,,,,
2022-05-18,389.25,765.4000244140625,0.3800019791007575,12.411591001127022,376.838408998873,,,,,,,,,,,,,,,,
2022-05-19,365.8500061035156,745.5499877929688,-0.0922153111526915,-3.0090867312972023,368.8590928348128,,,,,,,,,,,,,,,,
2022-05-20,381.2999877929688,762.7000122070312,0.1750903105807745,5.71188226191191,375.5881055310568,,,,,,,,,,,,,,,,
2022-05-23,372.1000061035156,755.75,-0.02011783095304,-0.6559640538202984,372.7559701573359,,,,,,,,,,,,,,,,
2022-05-24,368.7999877929688,732.7999877929688,0.1598703669953925,5.205238645461975,363.5947491475068,,,,,,,,,,,,,,,,
2022-05-25,369.6499938964844,724.7999877929688,0.2818273907842672,9.173593717242056,360.4764001792423,,,,,,,,,,,,,,,,
2022-05-26,369.2999877929688,742.8499755859375,0.0525659745023428,1.7114769208423013,367.5885108721265,,,,,,,,,,,,,,,,
2022-05-27,369.0499877929688,733.9500122070312,0.1532301490739082,4.986794892829039,364.0631929001397,,,,,,,,,,,,,,,,
2022-05-30,376.4500122070313,749.5,0.1906944434160423,6.207556048379843,370.2424561586514,,,,,,,,,,,,,,,,
2022-05-31,378.2000122070313,756.4000244140625,0.1605055980142581,5.222691330855582,372.97732087617567,,,,,,,,,,,,,,,,
2022-06-01,372.4500122070313,764.0999755859375,-0.1082878786915347,-3.52361749136702,375.9736296983983,,,,,,,,,,,,,,,,
2022-06-02,362.0499877929688,770.2000122070312,-0.4979564598021868,-16.208707161447876,378.2586949544166,,,,,,,,,,,,,,,,
2022-06-03,356.45001220703125,762.0999755859375,-0.5676768009167354,-18.480982436113777,374.930994643145,,,,,,,,,,,,,,,,
2022-06-06,357.20001220703125,763.5499877929688,-0.5582198723744414,-18.17982001794593,375.3798322249772,,,,,,,,,,,,,,,,
2022-06-07,351.0,761.7999877929688,-0.7221833271333954,-23.530160131592535,374.5301601315925,,,,,,,,,,,,,,,,
2022-06-08,351.6499938964844,762.0999755859375,-0.7009528078544113,-22.844524202728508,374.4945180992129,,,,,,,,,,,,,,,,
2022-06-09,367.8999938964844,771.4500122070312,-0.3147584162472637,-10.255810435249714,378.1558043317341,,,,,,,,,,,,,,,,
2022-06-10,360.6499938964844,765.6500244140625,-0.4636717707667936,-15.106743736605608,375.75673763309,,,,,,,,,,,,,,,,
2022-06-13,351.25,740.9500122070312,-0.4471145058770432,-14.5603699353577,365.8103699353577,,,,,,,,,,,,,,,,
2022-06-14,341.6499938964844,750.25,-0.8509693253499745,-27.666249947495203,369.3162438439796,,,,,,,,,,,,,,,,
2022-06-15,355.3500061035156,762.8499755859375,-0.5821514488739159,-18.89007402350057,374.2400801270162,,,,,,,,,,,,,,,,
2022-06-16,342.25,720.8499755859375,-0.464807348573076,-15.04539033325267,357.29539033325267,,,,,,,,,,,,,,,,
2022-06-17,339.8999938964844,698.9500122070312,-0.2639694745497789,-8.528147760810157,348.42814165729453,,,,,,,,,,,,,,,,
2022-06-20,342.5,677.5,0.0829519261041298,2.671798572843386,339.8282014271566,,,,,,,,,,,,,,,,
