Dates,TORNTPHARM.NS Y,ALKEM.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of ALKEM.NS X,Effective Margin of TORNTPHARM.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of TORNTPHARM.NS X,Effective Investment of TORNTPHARM.NS Y,Multiplier X,Multiplier Y
2023-09-13,1868.550048828125,3744.75,1.2294173608552683,192.74779987783472,1675.8022489502905,,0.5084888322467892,,,,,,,,,,,,,,,
2023-09-14,1839.699951171875,3709.449951171875,1.09122314751372,171.1345622519766,1668.5653889198984,,0.4610906329259506,,,,,,,,,,,,,,,
2023-09-15,1872.0,3675.949951171875,1.3388178924996634,210.10319546512392,1661.896804534876,,0.4883060369161721,,,,,,,,,,,,,,,
2023-09-18,1884.449951171875,3659.89990234375,1.429162076147389,224.3915041115524,1660.0584470603226,,0.5326119110043592,,,,,,,,,,,,,,,
2023-09-20,1884.1500244140625,3685.25,1.3638227073764242,214.08537807929636,1670.0646463347662,,0.5337060342497429,,,,,,,,,,,,,,,
2023-09-21,1874.4000244140625,3651.85009765625,1.3474404728534264,211.65202924639905,1662.7479951676637,,0.4830537402384939,,,,,,,,,,,,,,,
2023-09-22,1850.4000244140625,3550.64990234375,1.371137960350675,215.65362379298404,1634.7464006210785,,0.4690891837377481,,,,,,,,,,,,,,,
2023-09-25,1847.1500244140625,3555.949951171875,1.3281906301823214,208.84497501220997,1638.3050494018526,,0.4918955470782867,,,,,,,,,,,,,,,
2023-09-26,1832.5999755859373,3530.39990234375,1.2734039869788532,200.1485965957552,1632.4513789901823,,0.4759561675437237,,,,,,,,,,,,,,,
2023-09-27,1847.800048828125,3559.449951171875,1.3012850188250091,204.49613524688857,1643.3039135812364,,0.4452395087741477,,,,,,,,,,,,,,,
2023-09-28,1863.5999755859373,3524.800048828125,1.4583695767151337,229.31264543198745,1634.28733015395,,0.4820243373591444,,,,,,,,,,,,,,,
2023-09-29,1929.0999755859373,3605.89990234375,1.694004574278298,266.40135672353745,1662.6986188624,,0.5152111112803044,,,,,,,,,,,,,,,
2023-10-03,1880.25,3573.550048828125,1.4358201946206997,225.85388600386204,1654.396113996138,,0.5144337560333916,,,,,,,,,,,,,,,
2023-10-04,1864.1500244140625,3476.0,1.5258740273813212,240.1617871227395,1623.988237291323,,0.4911160167939017,,,,,,,,,,,,,,,
2023-10-05,1850.5999755859373,3457.5,1.4691843169255567,231.40490108904987,1619.1950744968876,,0.4800942339564419,,,,,,,,,,,,,,,
2023-10-06,1894.050048828125,3522.5,1.5923655507373458,250.84766148233484,1643.2023873457902,,0.518333238970163,,,,,,,,,,,,,,,
2023-10-09,1890.6500244140625,3551.550048828125,1.4935903348787694,235.29552391893253,1655.35450049513,,0.4964817504390486,,,,,,,,,,,,,,,
2023-10-10,1868.25,3585.75,1.2625792250661445,198.81378197596248,1669.4362180240375,,0.4220175463785272,,,,,,,,,,,,,,,
2023-10-11,1885.5,3539.75,1.4625928282411895,230.45868915720985,1655.0413108427902,,0.3964945491900581,,,,,,,,,,,,,,,
2023-10-12,1881.5,3594.949951171875,1.2979449402835586,204.34570391498687,1677.1542960850131,,0.3918792752488833,,,,,,,,,,,,,,,
