Dates,HCLTECH.NS Y,COFORGE.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of COFORGE.NS X,Effective Margin of HCLTECH.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of HCLTECH.NS X,Effective Investment of HCLTECH.NS Y,Multiplier X,Multiplier Y
2023-07-11,1114.9000244140625,4696.9501953125,-0.4260146022659489,-23.20130860198742,1138.10133301605,,0.004536170420025,,,,,,,,,,,,,,,
2023-07-12,1110.550048828125,4649.7998046875,-0.4051236774554969,-21.943514407591465,1132.4935632357165,,0.0035973144439955,,,,,,,,,,,,,,,
2023-07-13,1108.800048828125,4755.5,-0.6830296496047623,-36.91440884147005,1145.714457669595,,0.0021650576344515,,,,,,,,,,,,,,,
2023-07-14,1150.949951171875,4925.7998046875,-0.2999144644806313,-16.12978191204229,1167.0797330839173,,0.0011642909786352,,,,,,,,,,,,,,,
2023-07-17,1153.75,4958.14990234375,-0.3286114225614573,-17.584791558941788,1171.3347915589418,,0.0016550214897575,,,,,,,,,,,,,,,
2023-07-18,1167.199951171875,4965.85009765625,-0.1022379300106913,-5.431526709115587,1172.6314778809906,,0.0015293134834754,,,,,,,,,,,,,,,
2023-07-19,1169.050048828125,4875.9501953125,0.1355946293212548,7.141756274337467,1161.9082925537875,,0.000891520678377,,,,,,,,,,,,,,,
2023-07-20,1155.800048828125,4819.4501953125,0.0102201644758105,0.5342281071989419,1155.265820720926,,0.0004934545620242,,,,,,,,,,,,,,,
2023-07-21,1115.449951171875,4640.2998046875,-0.3425549812764878,-17.7782111531219,1133.228162324997,,0.0001180924919521,,,,,,,,,,,,,,,
2023-07-24,1112.9000244140625,4725.7001953125,-0.6085428830240206,-31.315402461470967,1144.2154268755337,,0.0004001802589223,,,,,,,,,,,,,,,
2023-07-25,1111.550048828125,4687.75,-0.5548411186292818,-28.26880951817384,1139.8188583462988,,0.0003688024148651,,,,,,,,,,,,,,,
2023-07-26,1115.0,4716.14990234375,-0.5765069359207585,-28.949062787076628,1143.9490627870766,,0.0008587312594994,,,,,,,,,,,,,,,
2023-07-27,1117.3499755859375,4692.7001953125,-0.4851871730230988,-24.099621271647948,1141.4495968575854,,0.0020397585463827,,,,,,,,,,,,,,,
2023-07-28,1103.550048828125,4672.2998046875,-0.7271994327835232,-35.742748709522175,1139.2927975376472,,0.0029549347233717,,,,,,,,,,,,,,,
2023-07-31,1116.699951171875,4703.7001953125,-0.5520018581882812,-26.923313563964257,1143.6232647358393,,0.001544586010348,,,,,,,,,,,,,,,
2023-08-01,1138.5,4845.4501953125,-0.4823976924478646,-23.41398390982204,1161.913983909822,,0.0013443724893739,,,,,,,,,,,,,,,
2023-08-02,1130.9000244140625,4757.10009765625,-0.4122214117771534,-19.943355551141394,1150.843379965204,,0.001687642065969,,,,,,,,,,,,,,,
2023-08-03,1125.5,4765.25,-0.5524564232469317,-26.60742047324084,1152.1074204732408,,0.0025764238217778,,,,,,,,,,,,,,,
2023-08-04,1144.3499755859375,4888.14990234375,-0.4949068913981935,-23.71789477072889,1168.0678703566664,,0.0028707539700281,,,,,,,,,,,,,,,
2023-08-07,1150.800048828125,4942.64990234375,-0.5123899720782186,-24.46166173770166,1175.261710565827,,0.0044382082281324,,,,,,,,,,,,,,,
2023-08-08,1141.3499755859375,4980.89990234375,-0.8162712276913182,-38.890916917002414,1180.24089250294,,0.0052823058066879,,,,,,,,,,,,,,,
2023-08-09,1144.1500244140625,5067.9501953125,-0.9935866739652344,-47.28018397468759,1191.43020838875,,0.0060325764366215,,,,,,,,,,,,,,,
