Dates,BEL.NS Y,HAL.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of HAL.NS X,Effective Margin of BEL.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of BEL.NS X,Effective Investment of BEL.NS Y,Multiplier X,Multiplier Y
2023-07-27,127.25,1926.4749755859373,-0.5354134327886575,-2.773946699453006,130.023946699453,,0.0892375856661348,,,,,,,,,,,,,,,
2023-07-28,130.14999389648438,1964.5,-0.3211007644757452,-1.6626552202606888,131.81264911674506,,0.0765878808326062,,,,,,,,,,,,,,,
2023-07-31,130.6999969482422,1980.75,-0.3574210720068136,-1.849981507072016,132.5499784553142,,0.0771277622784732,,,,,,,,,,,,,,,
2023-08-01,130.4499969482422,1932.949951171875,0.0403230826724561,0.2086505899336543,130.24134635830853,0.0,0.0716659349332468,,,,,,,,,,,,,,,
2023-08-02,125.3499984741211,1869.925048828125,-0.3549169866025927,-1.8366880783189004,127.18668655244,,0.0642645712453728,,,,,,,,,,,,,,,
2023-08-03,124.6500015258789,1883.2750244140625,-0.6030840996390184,-3.1186704542956534,127.76867198017456,,0.0573074815622669,,,,,,,,,,,,,,,
2023-08-04,127.5999984741211,1875.0,0.0483756118678751,0.2497651796339539,127.35023329448714,,0.0583412904697093,,,,,,,,,,,,,,,
2023-08-07,128.5500030517578,1876.0250244140625,0.2267078220645063,1.1678520922508824,127.38215095950692,,0.0591680426482216,,,,,,,,,,,,,,,
2023-08-08,129.14999389648438,1887.875,0.2364575170394319,1.2159757134957945,127.93401818298858,,0.0622805789788648,,,,,,,,,,,,,,,
2023-08-09,131.6999969482422,1912.125,0.5078023366322811,2.6073614552490767,129.0926354929931,,0.0667294805820648,,,,,,,,,,,,,,,
2023-08-10,129.39999389648438,1895.824951171875,0.2132564994743073,1.0938564982960486,128.30613739818833,,0.067693089773686,,,,,,,,,,,,,,,
2023-08-11,132.0500030517578,1895.5,0.7296112253530179,3.740332792454524,128.3096702593033,,0.0627147292738185,,,,,,,,,,,,,,,
2023-08-14,130.5,1939.425048828125,0.023755288442273,0.1216167597511344,130.3783832402489,,0.0491106222744354,,,,,,,,,,,,,,,
2023-08-16,131.3000030517578,1950.074951171875,0.0857734892712525,0.4383141207713663,130.86168893098645,,0.0570095622664734,,,,,,,,,,,,,,,
2023-08-17,128.6999969482422,1934.625,-0.2708250406368059,-1.3809368746813675,130.08093382292355,,0.0557909593573203,,,,,,,,,,,,,,,
2023-08-18,127.1500015258789,1894.0,-0.1907793709896683,-0.9717677182566432,128.12176924413555,,0.0469587669942328,,,,,,,,,,,,,,,
2023-08-21,129.25,1910.425048828125,0.0728566231471881,0.3704135319382544,128.87958646806177,,0.0410784525990912,,,,,,,,,,,,,,,
2023-08-22,133.3000030517578,1945.7249755859373,0.5414678950401252,2.7458229497117657,130.55418010204605,,0.0354705720177128,,,,,,,,,,,,,,,
2023-08-23,133.39999389648438,2015.550048828125,-0.0831833247827688,-0.4202928143438669,133.82028671082824,,0.0277071485136178,,,,,,,,,,,,,,,
2023-08-24,134.39999389648438,1982.7249755859373,0.4227563697501587,2.1297605077623416,132.27023338872203,,0.0352248813521412,,,,,,,,,,,,,,,
2023-08-25,133.39999389648438,1955.199951171875,0.4834701905216967,2.426638434869432,130.97335546161494,,0.0466686704491298,,,,,,,,,,,,,,,
2023-08-28,134.89999389648438,1957.625,0.7576413898112577,3.7927827082772296,131.10721118820717,,0.0463652194760067,,,,,,,,,,,,,,,
2023-08-29,134.5500030517578,1948.675048828125,0.7686303572991279,3.842334559457413,130.7076684923004,,0.0610971599154655,,,,,,,,,,,,,,,
2023-08-30,134.5500030517578,1952.6500244140625,0.7286504586147806,3.635141190288863,130.91486186146895,,0.0605672948023031,,,,,,,,,,,,,,,
2023-08-31,133.1999969482422,1950.1500244140625,0.4796163189554698,2.39053471289526,130.80946223534693,,0.0511903321424872,,,,,,,,,,,,,,,
