Dates,PAGEIND.NS Y,ABFRL.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of ABFRL.NS X,Effective Margin of PAGEIND.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of PAGEIND.NS X,Effective Investment of PAGEIND.NS Y,Multiplier X,Multiplier Y
2022-05-11,41785.6015625,258.20001220703125,1.7291592790694914,3815.5278815980346,37970.073680901965,,,,,,,,,,,,,,,,
2022-05-12,40915.0,252.1999969482422,1.691682644902354,3743.9630933451554,37171.036906654845,,,,,,,,,,,,,,,,
2022-05-13,41787.6015625,264.20001220703125,1.342775742271313,2974.9400544687232,38812.66150803128,,,,,,,,,,,,,,,,
2022-05-16,42394.0,271.70001220703125,1.1496761240428537,2549.5473977743386,39844.45260222566,,,,,,,,,,,,,,,,
2022-05-17,42087.05078125,280.04998779296875,0.4951010677382224,1097.0026206820694,40990.04816056793,,,,,,,,,,,,,,,,
2022-05-18,42916.8984375,280.45001220703125,0.839481321995147,1861.2831265225177,41055.61531097748,,,,,,,,,,,,,,,,
2022-05-19,41866.69921875,268.3500061035156,1.1019817739056983,2447.4855965620736,39419.21362218793,,,,,,,,,,,,,,,,
2022-05-20,42568.6015625,271.25,1.2319794172308756,2739.26102941751,39829.34053308249,,,,,,,,,,,,,,,,
2022-05-23,42184.8984375,273.5,0.9154350363341262,2036.359746409464,40148.538691090536,,,,,,,,,,,,,,,,
2022-05-24,42940.3984375,266.70001220703125,1.6607058265880263,3705.472835179244,39234.92560232076,,,,,,,,,,,,,,,,
2022-05-25,41408.5,257.70001220703125,1.516170081628459,3391.916435008716,38016.58356499128,,,,,,,,,,,,,,,,
2022-05-26,41778.30078125,257.3999938964844,1.6891825216489822,3789.4172717019246,37988.88350954808,,,,,,,,,,,,,,,,
2022-05-27,44442.1484375,259.70001220703125,2.7059847858245307,6115.553652564682,38326.59478493532,,,,,,,,,,,,,,,,
2022-05-30,45042.30078125,271.45001220703125,2.238155043059624,5081.933490885662,39960.36729036434,,,,,,,,,,,,,,,,
2022-05-31,45194.05078125,271.29998779296875,2.291375892523622,5230.725668404521,39963.32511284548,,,,,,,,,,,,,,,,
2022-06-01,44194.30078125,274.45001220703125,1.653056073562486,3781.352370969398,40412.9484102806,,,,,,,,,,,,,,,,
2022-06-02,43548.80078125,274.0,1.390526436697346,3184.411828888522,40364.38895236148,,,,,,,,,,,,,,,,
2022-06-03,42433.1484375,271.0,1.0783392596338095,2471.833541171094,39961.314896328906,,,,,,,,,,,,,,,,
2022-06-06,42127.94921875,268.75,1.074853479367023,2466.613319466378,39661.33589928362,,,,,,,,,,,,,,,,
2022-06-07,41390.75,264.3500061035156,1.0133085834970117,2327.136540636005,39063.613459364,,,,,,,,,,,,,,,,
2022-06-08,41362.1484375,256.95001220703125,1.438807475886402,3306.2154305820004,38055.933006918,,,,,,,,,,,,,,,,
2022-06-09,41512.8984375,259.0,1.3782803957932124,3163.9859189732742,38348.912518526726,,,,,,,,,,,,,,,,
2022-06-10,41346.6484375,259.04998779296875,1.2987084786117835,2981.146102488397,38365.5023350116,,,,,,,,,,,,,,,,
2022-06-13,40537.8984375,246.3999938964844,1.6961426203733112,3900.3847038621607,36637.51373363784,,,,,,,,,,,,,,,,
2022-06-14,39999.75,244.3000030517578,1.5811226558735008,3639.8668554318647,36359.883144568135,,,,,,,,,,,,,,,,
2022-06-15,40971.94921875,239.6000061035156,2.2685711775668227,5243.008446001812,35728.94077274819,,,,,,,,,,,,,,,,
2022-06-16,40044.3984375,229.1499938964844,2.4675631021153213,5737.01535707288,34307.38308042712,,,,,,,,,,,,,,,,
2022-06-17,39870.80078125,230.1499938964844,2.3168943392136434,5411.310800415908,34459.48998083409,,,,,,,,,,,,,,,,
2022-06-20,39883.6484375,226.6999969482422,2.5038505409414715,5885.5847049605145,33998.063732539485,,,,,,,,,,,,,,,,
2022-06-21,39232.3984375,234.6000061035156,1.755240705445832,4138.401789227457,35093.99664827254,,,,,,,,,,,,,,,,
2022-06-22,38968.69921875,232.1999969482422,1.7734566697830525,4194.836580700619,34773.86263804938,,,,,,,,,,,,,,,,
2022-06-23,38897.75,236.5,1.4865160764468868,3523.800535596878,35373.94946440312,,,,,,,,,,,,,,,,
2022-06-24,40026.80078125,239.75,1.764125892961289,4194.875748241044,35831.92503300896,,,,,,,,,,,,,,,,
2022-06-27,40190.80078125,242.0500030517578,1.6907360625573673,4031.783110890589,36159.01767035941,,,,,,,,,,,,,,,,
2022-06-28,40028.55078125,239.8000030517578,1.7430120334509305,4169.250702649224,35859.300078600776,,,,,,,,,,,,,,,,
2022-06-29,41027.05078125,241.0500030517578,2.074691301385416,4983.014103829606,36044.0366774204,,,,,,,,,,,,,,,,
2022-06-30,40166.5,237.0500030517578,1.934154144931474,4663.471140603229,35503.02885939677,,,,,,,,,,,,,,,,
2022-07-01,41375.80078125,242.5500030517578,2.1058702898731743,5099.869816751678,36275.93096449832,,,,,,,,,,,,,,,,
2022-07-04,42052.6015625,248.3000030517578,2.0429057049659147,4967.594141104477,37085.00742139552,,,,,,,,,,,,,,,,
2022-07-05,42348.25,241.5,2.5281375187646,6188.529736192693,36159.72026380731,,,,,,,,,,,,,,,,
2022-07-06,43570.8984375,243.3999938964844,2.887985132258388,7129.400356624632,36441.49808087537,,,,,,,,,,,,,,,,
2022-07-07,44014.30078125,250.5,2.6425815641961705,6568.859641886331,37445.44113936367,,,,,,,,,,,,,,,,
2022-07-08,43575.69921875,253.3999938964844,2.2850659104798745,5709.88076016296,37865.81845858704,,,,,,,,,,,,,,,,
2022-07-11,43399.1015625,261.8500061035156,1.7330196235599118,4342.1910577752205,39056.91050472478,,,,,,,,,,,,,,,,
2022-07-12,43088.8515625,257.6000061035156,1.8327656799051235,4607.7832942463865,38481.06826825361,,,,,,,,,,,,,,,,
2022-07-13,43499.69921875,254.9499969482422,2.126521635353053,5370.881893657788,38128.81732509221,,,,,,,,,,,,,,,,
2022-07-14,43684.3515625,255.3500061035156,2.160453158769037,5481.9969471532895,38202.35461534671,,,,,,,,,,,,,,,,
2022-07-15,44368.5,254.6499938964844,2.4461709689023183,6244.084009490311,38124.41599050969,,,,,,,,,,,,,,,,
2022-07-18,44074.80078125,261.54998779296875,1.9388182103816172,4966.975935044458,39107.82484620554,,,,,,,,,,,,,,,,
2022-07-19,43750.8515625,264.54998779296875,1.638171738101336,4207.617464299023,39543.23409820098,,,,,,,,,,,,,,,,
2022-07-20,43990.80078125,262.79998779296875,1.8150921147827423,4677.318441337018,39313.48233991298,,,,,,,,,,,,,,,,
2022-07-21,45126.5,269.0,1.904435162329927,4924.203774567162,40202.29622543284,,,,,,,,,,,,,,,,
2022-07-22,45342.44921875,270.0,1.9190399977400632,4980.30440091592,40362.14481783408,,,,,,,,,,,,,,,,
2022-07-25,45616.80078125,267.5,2.142508179381347,5586.142917280842,40030.65786396916,,,,,,,,,,,,,,,,
2022-07-26,46193.8984375,265.29998779296875,2.458331936940838,6449.672882596053,39744.22555490395,,,,,,,,,,,,,,,,
2022-07-27,47257.3515625,267.6499938964844,2.706981343198122,7154.759583231142,40102.59197926886,,,,,,,,,,,,,,,,
2022-07-28,47760.5,267.1499938964844,2.8883205218610595,7699.452401795112,40061.04759820489,,,,,,,,,,,,,,,,
2022-07-29,48873.0,268.6499938964844,3.1807541308030114,8566.785739927735,40306.214260072265,,,,,,,,,,,,,,,,
2022-08-01,49222.80078125,271.95001220703125,3.0941228398935947,8414.440581905023,40808.36019934498,,,,,,,,,,,,,,,,
2022-08-02,48987.5,279.95001220703125,2.5612761602286005,7009.730973078076,41977.76902692192,,,,,,,,,,,,,,,,
