Dates,COFORGE.NS Y,PERSISTENT.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of PERSISTENT.NS X,Effective Margin of COFORGE.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of COFORGE.NS X,Effective Investment of COFORGE.NS Y,Multiplier X,Multiplier Y
2023-08-17,5005.2001953125,2457.10009765625,0.4274208495466187,263.6076439561566,4741.592551356343,,0.3081805770218169,,,,,,,,,,,,,,,
2023-08-18,4920.14990234375,2425.85009765625,0.3341971691577235,205.5547380152648,4714.595164328485,,0.3171308510155433,,,,,,,,,,,,,,,
2023-08-21,4996.5,2505.35009765625,0.3218832755788338,197.25052636794408,4799.249473632056,,0.2883459755180502,,,,,,,,,,,,,,,
2023-08-22,4961.0,2514.85009765625,0.240840493118217,147.09176607265,4813.90823392735,,0.2894521116576445,,,,,,,,,,,,,,,
2023-08-23,4913.10009765625,2502.550048828125,0.1763353972126527,107.36597649777468,4805.734121158475,,0.242378721716705,,,,,,,,,,,,,,,
2023-08-24,5390.85009765625,2559.97509765625,0.8505958180778931,515.9167832761195,4874.9333143801305,,0.2705816559215787,,,,,,,,,,,,,,,
2023-08-25,5256.2001953125,2568.949951171875,0.6027603284004229,364.2249765333163,4891.975218779184,,0.1997611708702387,,,,,,,,,,,,,,,
2023-08-28,5171.89990234375,2523.77490234375,0.536133072879956,322.7160309429255,4849.1838714008245,,0.2082348360967333,,,,,,,,,,,,,,,
2023-08-29,5225.60009765625,2553.175048828125,0.5623021224768571,336.933873157569,4888.666224498681,,0.2192618629935879,,,,,,,,,,,,,,,
2023-08-30,5298.25,2592.949951171875,0.5989949459605699,357.311471712992,4940.938528287008,,0.1928013799484537,,,,,,,,,,,,,,,
2023-08-31,5466.4501953125,2685.35009765625,0.6909816992261922,409.8451320673994,5056.605063245101,,0.1988947122231565,,,,,,,,,,,,,,,
2023-09-01,5451.89990234375,2771.64990234375,0.4843870203871769,285.5874483095122,5166.312454034238,,0.2169965715528002,,,,,,,,,,,,,,,
2023-09-04,5489.0,2891.27490234375,0.2935623038225754,171.9737027730671,5317.026297226933,,0.2069683327766315,,,,,,,,,,,,,,,
2023-09-05,5611.5,2962.85009765625,0.3382175292892586,197.0414410412195,5414.4585589587805,,0.2196411696418525,,,,,,,,,,,,,,,
2023-09-06,5625.60009765625,2978.72509765625,0.3118060844998001,180.9110850421066,5444.689012614143,,0.2099988575831689,,,,,,,,,,,,,,,
2023-09-07,5610.35009765625,2969.89990234375,0.2893668674281231,167.27472468444466,5443.075372971805,,0.1567282824799072,,,,,,,,,,,,,,,
2023-09-08,5550.60009765625,2985.52490234375,0.1394136078505633,80.1681832246577,5470.431914431592,,0.1357380830007793,,,,,,,,,,,,,,,
2023-09-11,5515.7001953125,2968.074951171875,0.1059791585403222,60.64301563612389,5455.057179676376,,0.1063184462888308,,,,,,,,,,,,,,,
2023-09-12,5459.5,2919.949951171875,0.1048454563516431,59.691837637261415,5399.808162362739,,0.0779338363961398,,,,,,,,,,,,,,,
2023-09-13,5437.14990234375,2889.75,0.1203682631451801,68.0953014629722,5369.054600880778,,0.0985992767947392,,,,,,,,,,,,,,,
2023-09-14,5456.64990234375,2969.574951171875,-0.038483730810223,-21.60183884423077,5478.251741187981,,0.0540949397293166,,,,,,,,,,,,,,,
2023-09-15,5618.89990234375,2982.824951171875,0.2049268806122871,114.10734398021032,5504.79255836354,,0.0638181588526108,,,,,,,,,,,,,,,
2023-09-18,5544.89990234375,2919.449951171875,0.2114657306926156,117.02396411827613,5427.875938225474,,0.0473541234791126,,,,,,,,,,,,,,,
2023-09-20,5418.0,2893.324951171875,0.0383984936229898,21.085447373345232,5396.914552626655,,0.0412471335114214,,,,,,,,,,,,,,,
2023-09-21,5336.2998046875,2877.52490234375,-0.0776532019202898,-42.29104599680704,5378.590850684307,,0.0659862791815351,,,,,,,,,,,,,,,
2023-09-22,5293.4501953125,2924.675048828125,-0.2796046204771164,-151.05931962613977,5444.50951493864,,0.1008386141253266,,,,,,,,,,,,,,,
2023-09-25,5285.89990234375,2958.675048828125,-0.3857958396806779,-207.06419236425157,5492.9640947080015,,0.0903750665038276,,,,,,,,,,,,,,,
2023-09-26,5193.2001953125,2929.52490234375,-0.4906219637065643,-261.8222677781905,5455.0224630906905,,0.1338196413882541,,,,,,,,,,,,,,,
2023-09-27,5204.9501953125,2919.39990234375,-0.4441123715830281,-235.82668228775583,5440.776877600256,,0.0981754329967868,,,,,,,,,,,,,,,
