Dates,IOC.NS Y,BPCL.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of BPCL.NS X,Effective Margin of IOC.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of IOC.NS X,Effective Investment of IOC.NS Y,Multiplier X,Multiplier Y
2023-07-19,98.25,384.5499877929688,2.7610386373732445,18.48868617763594,79.76131382236406,,0.7137243250585007,,,,,,,,,,,,,,,
2023-07-20,98.75,387.9500122070313,2.7819095539118863,18.700676398363058,80.04932360163694,,0.6992875557016612,,,,,,,,,,,,,,,
2023-07-21,99.3499984741211,390.6499938964844,2.821483187782034,19.03544916226116,80.31454931185993,,0.7008081189341314,,,,,,,,,,,,,,,
2023-07-24,99.8499984741211,389.5499877929688,2.8764913663402027,19.47890546530283,80.37109300881826,,0.7210832256874342,,,,,,,,,,,,,,,
2023-07-25,99.0,386.3999938964844,2.7535267386806748,18.7013441105547,80.2986558894453,,0.6833631068527395,,,,,,,,,,,,,,,
2023-07-26,99.5999984741211,387.2000122070313,2.809193100992598,19.14020575000464,80.45979272411645,,0.6906827687511483,,,,,,,,,,,,,,,
2023-07-27,98.5999984741211,379.25,2.7134888085428472,18.534849546308863,80.06514892781223,,0.6880623759796167,,,,,,,,,,,,,,,
2023-07-28,95.25,373.4500122070313,2.2639129488657908,15.472306227912457,79.77769377208755,,0.5123770343841781,,,,,,,,,,,,,,,
2023-07-31,93.75,377.5,1.9951057446338556,13.623282319512995,80.126717680487,,0.3987509498968231,,,,,,,,,,,,,,,
2023-08-01,94.0,377.5,2.020978206595873,13.786539874545582,80.21346012545442,,0.3619340613152962,,,,,,,,,,,,,,,
2023-08-02,93.8499984741211,369.1000061035156,2.074997711402781,14.137250325659435,79.71274814846166,,0.4314150477961614,,,,,,,,,,,,,,,
2023-08-03,93.5,368.0,2.0265518647498557,13.794503309539678,79.70549669046032,,0.3632836255396783,,,,,,,,,,,,,,,
2023-08-04,92.3000030517578,360.3999938964844,1.92560539087656,13.081066884940157,79.21893616681766,,0.2763352524689642,,,,,,,,,,,,,,,
2023-08-07,92.8499984741211,360.6499938964844,1.999788231179659,13.550415712336276,79.29958276178482,,0.3501694955606278,,,,,,,,,,,,,,,
2023-08-08,92.3499984741211,357.8500061035156,1.9526530681557357,13.204322796370562,79.14567567775053,,0.3121358168067717,,,,,,,,,,,,,,,
2023-08-09,93.9000015258789,360.3500061035156,2.147588028702996,14.50031921559983,79.39968231027908,,0.3500495986838965,,,,,,,,,,,,,,,
2023-08-10,93.8499984741211,362.6499938964844,2.107848004999828,14.203332480128552,79.64666599399254,,0.3789537866237225,,,,,,,,,,,,,,,
2023-08-11,93.5,357.54998779296875,2.11084169704945,14.202537014614308,79.29746298538569,,0.3039194806393798,,,,,,,,,,,,,,,
2023-08-14,92.5999984741211,356.54998779296875,1.9869077938072264,13.32783237760043,79.27216609652066,,0.2750731858290751,,,,,,,,,,,,,,,
2023-08-16,93.3000030517578,357.8999938964844,2.070851160635653,13.854875895749856,79.44512715600796,,0.2231108850886685,,,,,,,,,,,,,,,
2023-08-17,92.25,356.95001220703125,1.9256046280709185,12.826912349383818,79.42308765061618,,0.1716997579055419,,,,,,,,,,,,,,,
2023-08-18,91.4000015258789,352.8999938964844,1.85278988594601,12.28042092438234,79.11958060149657,,0.2114836003154921,,,,,,,,,,,,,,,
2023-08-21,92.0,352.04998779296875,1.9543615075876848,12.907522175242631,79.09247782475737,,0.2055421279880837,,,,,,,,,,,,,,,
2023-08-22,91.8499984741211,346.8999938964844,2.004786276110555,13.188808512766116,78.66118996135498,,0.1576907640036903,,,,,,,,,,,,,,,
2023-08-23,91.3000030517578,344.79998779296875,1.95611899354189,12.80146490968255,78.49853814207526,,0.1227103369249673,,,,,,,,,,,,,,,
2023-08-24,92.25,351.25,2.0104265168305573,13.0845120566744,79.1654879433256,,0.1451328960648406,,,,,,,,,,,,,,,
