Dates,HEROMOTOCO.NS Y,BAJAJ-AUTO.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of BAJAJ-AUTO.NS X,Effective Margin of HEROMOTOCO.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of HEROMOTOCO.NS X,Effective Investment of HEROMOTOCO.NS Y,Multiplier X,Multiplier Y
2023-07-10,3123.699951171875,4897.9501953125,1.4709254476882678,237.21316965076585,2886.486781521109,,0.0790850182945669,,,,,,,,,,,,,,,
2023-07-11,3102.60009765625,4917.64990234375,1.2905077086301528,208.11987579892596,2894.480221857324,,0.0685093284034474,,,,,,,,,,,,,,,
2023-07-12,3078.85009765625,4878.4501953125,1.1765717091710728,189.8251793925292,2889.024918263721,,0.0654715508828786,,,,,,,,,,,,,,,
2023-07-13,3073.10009765625,4866.4501953125,1.1389191692631482,183.73788768408255,2889.3622099721674,,0.0702500486341927,,,,,,,,,,,,,,,
2023-07-14,3136.300048828125,4859.60009765625,1.5119119075976943,244.3057752297236,2891.9942735984014,,0.0951088584828256,,,,,,,,,,,,,,,
2023-07-17,3091.60009765625,4833.14990234375,1.2509855144209132,202.35370210321528,2889.2463955530347,,0.0852128658023594,,,,,,,,,,,,,,,
2023-07-18,3116.39990234375,4860.60009765625,1.3424203083277362,217.23793463672155,2899.1619677070285,,0.0978452479568501,,,,,,,,,,,,,,,
2023-07-19,3096.64990234375,4823.64990234375,1.251993966439933,202.9045775327886,2893.7453248109614,,0.0915232718837338,,,,,,,,,,,,,,,
2023-07-20,3087.14990234375,4868.7001953125,1.1094394830598313,179.80556512499652,2907.344337218753,,0.0840034451423579,,,,,,,,,,,,,,,
2023-07-21,3102.050048828125,4862.7001953125,1.1890837750491672,192.9338948331374,2909.116153994988,,0.0810225380504643,,,,,,,,,,,,,,,
2023-07-24,3134.050048828125,4882.75,1.3314227967623256,216.30541894376984,2917.744629884355,,0.0927690566892107,,,,,,,,,,,,,,,
2023-07-25,3140.300048828125,4848.9501953125,1.3953706338091956,227.2014353386703,2913.0986134894547,,0.0943244900524479,,,,,,,,,,,,,,,
2023-07-26,3145.699951171875,4870.4501953125,1.372264495375088,223.71317497469136,2921.986776197184,,0.0938697131924251,,,,,,,,,,,,,,,
2023-07-27,3136.949951171875,4851.0,1.3270865004754446,216.6213654347539,2920.328585737121,,0.0919281316134508,,,,,,,,,,,,,,,
2023-07-28,3172.5,4892.5,1.455741994076936,237.84591591571643,2934.654084084284,,0.1077189467930849,,,,,,,,,,,,,,,
2023-07-31,3203.699951171875,4931.39990234375,1.557433951904957,254.74327127433665,2948.9566798975384,,0.1149884760978143,,,,,,,,,,,,,,,
2023-08-01,3102.10009765625,4923.9501953125,0.933951907405941,152.77773351128508,2949.322364144965,,0.0837489480973572,,,,,,,,,,,,,,,
2023-08-02,2993.449951171875,4832.10009765625,0.4133652252823848,67.6509780235474,2925.798973148328,,0.0712548055921209,,,,,,,,,,,,,,,
