Dates,DRREDDY.NS Y,ABBOTINDIA.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of ABBOTINDIA.NS X,Effective Margin of DRREDDY.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of DRREDDY.NS X,Effective Investment of DRREDDY.NS Y,Multiplier X,Multiplier Y
2023-06-20,4901.2001953125,22996.900390625,0.7667669275792681,243.023860694022,4658.176334618478,,0.0139118861724246,,,,,,,,,,,,,,,
2023-06-21,4910.39990234375,22678.900390625,0.8249432376645058,259.68962049349284,4650.710281850257,,0.0008407995575086,,,,,,,,,,,,,,,
2023-06-22,4899.4501953125,22554.849609375,0.796511567415004,248.71381712180755,4650.736378190692,,0.0045043708882633,,,,,,,,,,,,,,,
2023-06-23,4993.89990234375,22659.30078125,1.0743843757395477,332.1531851965374,4661.746717147213,,0.005609317608459,,,,,,,,,,,,,,,
2023-06-26,5041.60009765625,22841.150390625,1.1879380548650171,363.1501656069231,4678.449932049327,,0.0011541441012625,,,,,,,,,,,,,,,
2023-06-27,5025.60009765625,22707.80078125,1.148991266199792,347.5413168011109,4678.058780855139,,0.0010252628165254,,,,,,,,,,,,,,,
2023-06-28,5107.85009765625,23202.30078125,1.3218332630674732,393.64073926211495,4714.209358394135,,0.0006671431407615,,,,,,,,,,,,,,,
2023-06-30,5159.60009765625,23419.150390625,1.4414203021650251,422.4912087248949,4737.108888931355,,0.0015727234428751,,,,,,,,,,,,,,,
2023-07-03,5098.2998046875,23249.69921875,1.2556679032143947,362.5218446427343,4735.777960044766,,0.000833466846171,,,,,,,,,,,,,,,
2023-07-04,5188.39990234375,23209.19921875,1.570418972234362,446.8262133325025,4741.573689011248,,0.0006557232826242,,,,,,,,,,,,,,,
2023-07-05,5178.35009765625,23306.0,1.508083264883979,422.07422414564735,4756.275873510603,,0.0008074062862869,,,,,,,,,,,,,,,
2023-07-06,5231.7998046875,23825.75,1.560420843339314,430.1118290688101,4801.68797561869,,0.000971363122723,,,,,,,,,,,,,,,
2023-07-07,5182.5,23499.400390625,1.4553941928804617,395.580535202128,4786.919464797872,,0.0005449732285336,,,,,,,,,,,,,,,
2023-07-10,5154.9501953125,23470.44921875,1.355951284988726,362.4349525082398,4792.51524280426,,0.0003259078308652,,,,,,,,,,,,,,,
2023-07-11,5165.85009765625,23693.19921875,1.325882187991289,348.7074374033018,4817.142660252948,,0.0001435109093042,,,,,,,,,,,,,,,
2023-07-12,5189.0,23564.5,1.443872064039386,374.3446163126209,4814.655383687379,,0.0003353022409605,,,,,,,,,,,,,,,
2023-07-13,5142.4501953125,23392.55078125,1.3118802485079477,334.8746930452826,4807.575502267217,,9.924289261740436e-05,,,,,,,,,,,,,,,
2023-07-14,5092.0498046875,23293.900390625,1.143740185669296,287.0388278229075,4805.0109768645925,,0.0001114738455792,,,,,,,,,,,,,,,
2023-07-17,5229.75,23151.94921875,1.7418457008508352,429.805731088265,4799.944268911735,,0.0001280287065307,,,,,,,,,,,,,,,
2023-07-18,5191.0,23345.650390625,1.5156058801835448,367.9896502819947,4823.010349718005,,6.423182858388904e-05,,,,,,,,,,,,,,,
2023-07-19,5221.35009765625,23468.650390625,1.5963643395897875,380.7316427709429,4840.618454885307,,0.0233529833202252,,,,,,,,,,,,,,,
2023-07-20,5339.2998046875,23665.099609375,2.02018181382176,473.26211569739735,4866.037688990103,1.0,0.0618048943791543,,,,,,,,,,,,,,,
2023-07-21,5288.2001953125,23183.849609375,2.00132234476455,460.9839913111528,4827.216204001347,,0.0599122994896958,,,,,,,,,,,,,,,
2023-07-24,5391.7001953125,23171.25,2.4285155718452844,560.0287153863464,4831.671479926154,,0.1245886668299458,,,,,,,,,,,,,,,
2023-07-25,5425.39990234375,22986.400390625,2.617081280928028,606.0997477925739,4819.300154551176,,0.1730405105019883,,,,,,,,,,,,,,,
2023-07-26,5475.64990234375,22945.44921875,2.8103068393418846,654.9215413418588,4820.728361001891,,0.1857948048129263,,,,,,,,,,,,,,,
2023-07-27,5507.0,23705.849609375,2.583064687921506,604.3017133677149,4902.698286632285,,0.1128722642107508,,,,,,,,,,,,,,,
2023-07-28,5583.0,24059.94921875,2.706920999297344,637.1152566758565,4945.884743324144,,0.1433480656140979,,,,,,,,,,,,,,,
2023-07-31,5640.4501953125,24068.599609375,2.8911011164485205,685.4762569815957,4954.973938330904,,0.1332108994794068,,,,,,,,,,,,,,,
2023-08-01,5667.0498046875,23943.19921875,3.0014652133643898,715.9941759621415,4951.055628725359,,0.135388593410081,,,,,,,,,,,,,,,
2023-08-02,5660.4501953125,24084.69921875,2.859807710490741,685.08619354026,4975.36400177224,,0.1790992892118496,,,,,,,,,,,,,,,
2023-08-03,5659.5,24555.80078125,2.59582714073412,622.4966094350757,5037.003390564924,,0.1456796166781803,,,,,,,,,,,,,,,
2023-08-04,5649.5498046875,23864.0,2.822431793021906,679.8012325530926,4969.748572134407,,0.2252672145142141,,,,,,,,,,,,,,,
2023-08-07,5630.7001953125,23964.75,2.6549357540325484,641.9976298612091,4988.702565451291,,0.2389601791670597,,,,,,,,,,,,,,,
2023-08-08,5657.9501953125,23774.349609375,2.81043871869252,683.5158217788921,4974.434373533608,,0.2749380172384599,,,,,,,,,,,,,,,
2023-08-09,5871.0,23749.099609375,3.618823897161345,890.3947147923263,4980.605285207674,,0.4813343406843201,,,,,,,,,,,,,,,
2023-08-10,5851.14990234375,23887.75,3.399184111421341,845.4151426049075,5005.7347597388425,,0.4253247968617383,,,,,,,,,,,,,,,
2023-08-11,5823.0,23732.80078125,3.2933233028233424,827.757486130824,4995.242513869176,,0.4908690309278308,,,,,,,,,,,,,,,
2023-08-14,5823.35009765625,23637.80078125,3.2770877385163595,832.010306389062,4991.339791267188,,0.5027771713050919,,,,,,,,,,,,,,,
2023-08-16,5857.85009765625,23904.19921875,3.2216702895221343,825.3026510694999,5032.54744658675,,0.4753005631491566,,,,,,,,,,,,,,,
2023-08-17,5880.64990234375,23658.75,3.35892623464132,870.7463328903168,5009.903569453433,,0.5426259947223211,,,,,,,,,,,,,,,
2023-08-18,5874.4501953125,23399.599609375,3.3917559991550355,890.0330248176851,4984.417170494815,,0.5717191262974556,,,,,,,,,,,,,,,
2023-08-21,5910.85009765625,23436.05078125,3.4435262647710942,914.2668413194853,4996.583256336765,,0.5886955853628474,,,,,,,,,,,,,,,
2023-08-22,5925.5498046875,23478.349609375,3.4096690455304337,915.8709378176318,5009.678866869868,,0.5829396753248356,,,,,,,,,,,,,,,
2023-08-23,5953.35009765625,23231.099609375,3.559392829284909,968.951124275859,4984.398973380391,,0.6458643933894213,,,,,,,,,,,,,,,
2023-08-24,5907.14990234375,23164.650390625,3.3598520761642443,925.0443304016826,4982.105571942067,,0.6066541136467617,,,,,,,,,,,,,,,
2023-08-25,5779.25,23221.0,2.8267342336024,784.0242785788541,4995.225721421146,,0.4133013097173368,,,,,,,,,,,,,,,
2023-08-28,5775.89990234375,23388.44921875,2.6950580200808445,752.3055639379254,5023.594338405825,,0.3732224091006688,,,,,,,,,,,,,,,
2023-08-29,5723.7998046875,23414.94921875,2.4635662842276536,691.5960789270175,5032.2037257604825,,0.2843801686680722,,,,,,,,,,,,,,,
2023-08-30,5649.75,23363.650390625,2.20218226939002,620.526746765785,5029.223253234215,,0.2426658322526865,,,,,,,,,,,,,,,
2023-08-31,5607.85009765625,23109.55078125,2.1591628137205654,610.5613735747729,4997.288724081477,,0.2430270080610386,,,,,,,,,,,,,,,
2023-09-01,5578.5498046875,22704.650390625,2.237937078819598,635.1081743414352,4943.441630346065,,0.2971993363956391,,,,,,,,,,,,,,,
2023-09-04,5659.4501953125,22345.25,2.6751700295622047,763.750118974519,4895.700076337981,,0.4267648203963399,,,,,,,,,,,,,,,
2023-09-05,5578.89990234375,22793.25,2.154597668628948,616.7862905036163,4962.113611840134,,0.3195973186635904,,,,,,,,,,,,,,,
2023-09-06,5583.2998046875,23106.599609375,1.9973911041942387,573.4410684342747,5009.858736253225,,0.2864300954224418,,,,,,,,,,,,,,,
2023-09-07,5615.14990234375,23029.05078125,2.126465027607345,613.1817757355047,5001.968126608245,,0.3130680449397817,,,,,,,,,,,,,,,
2023-09-08,5583.7998046875,23002.30078125,2.012793937711555,582.6642140681834,5001.135590619317,,0.2840831079239617,,,,,,,,,,,,,,,
2023-09-11,5613.7998046875,22985.099609375,2.106579909771697,612.2006047899777,5001.599199897522,,0.338031938340559,,,,,,,,,,,,,,,
2023-09-12,5673.7998046875,22897.25,2.333680966890035,681.6819102085583,4992.117894478942,,0.3763125435140741,,,,,,,,,,,,,,,
2023-09-13,5738.89990234375,23004.150390625,2.4763317543782906,727.2834200277666,5011.616482315983,,0.4428470961264267,,,,,,,,,,,,,,,
2023-09-14,5744.64990234375,22910.599609375,2.512831552958531,742.7557099114556,5001.894192432294,,0.4696527764729006,,,,,,,,,,,,,,,
2023-09-15,5819.5,23351.150390625,2.514785075041333,747.4630237222336,5072.036976277766,,0.4742737329797322,,,,,,,,,,,,,,,
2023-09-18,5728.0,23308.349609375,2.202716259786768,657.9886442017096,5070.01135579829,,0.4015861039695685,,,,,,,,,,,,,,,
2023-09-20,5615.0498046875,23191.5,1.8637940706544405,558.8230979062482,5056.226706781252,,0.3289116787841811,,,,,,,,,,,,,,,
2023-09-21,5668.5,22838.349609375,2.196094616003384,662.0204496017504,5006.47955039825,,0.3706177942523326,,,,,,,,,,,,,,,
2023-09-22,5517.0498046875,22543.25,1.8269360229594136,552.8044496173743,4964.245355070126,,0.2224746840715806,,,,,,,,,,,,,,,
2023-09-25,5438.75,22650.650390625,1.5042147486063089,456.09788482035947,4982.6521151796405,,0.1511906714977433,,,,,,,,,,,,,,,
2023-09-26,5467.75,22710.80078125,1.561707458552257,473.9564865457796,4993.79351345422,,0.1932503815254119,,,,,,,,,,,,,,,
2023-09-27,5496.4501953125,22743.30078125,1.6296001916209153,495.6136156328376,5000.836579679663,,0.2273809163162304,,,,,,,,,,,,,,,
2023-09-28,5429.10009765625,22370.650390625,1.586159118642288,483.8198770529889,4945.280220603261,,0.2269365010073056,,,,,,,,,,,,,,,
2023-09-29,5587.0,23179.44921875,1.6793356008405564,513.2109242779352,5073.789075722065,,0.2399471098288018,,,,,,,,,,,,,,,
2023-10-03,5461.7001953125,23121.80078125,1.287407807256126,394.1249743366343,5067.575220975866,,0.1939576823589171,,,,,,,,,,,,,,,
2023-10-04,5417.7998046875,22815.94921875,1.2907726619533384,395.97462919202735,5021.825175495473,,0.1955126160607548,,,,,,,,,,,,,,,
2023-10-05,5407.25,22861.94921875,1.224773017121805,376.2772734038044,5030.972726596196,,0.1911033816933041,,,,,,,,,,,,,,,
2023-10-06,5424.89990234375,23036.400390625,1.1843457549775438,364.2976874797969,5060.602214863953,,0.1881380542725773,,,,,,,,,,,,,,,
2023-10-09,5494.85009765625,22962.55078125,1.4378446263521003,443.2496548605177,5051.600442795732,,0.2119259297861396,,,,,,,,,,,,,,,
2023-10-10,5478.5498046875,22748.05078125,1.4840525027531624,458.62970906652754,5019.9200956209725,,0.2165354856097968,,,,,,,,,,,,,,,
2023-10-11,5567.60009765625,22430.25,1.919666677723513,595.6450984080884,4971.954999248162,,0.2737203111172727,,,,,,,,,,,,,,,
2023-10-12,5530.2001953125,22306.80078125,1.8494464988833184,575.838946503769,4954.361248808731,,0.2715520774620272,,,,,,,,,,,,,,,
2023-10-13,5460.2001953125,22389.25,1.5722754430958945,490.7152221518809,4969.484973160619,,0.2273076102378473,,,,,,,,,,,,,,,
2023-10-16,5493.10009765625,22476.900390625,1.6222965509267715,507.5646500328421,4985.535447623408,,0.241656764409878,,,,,,,,,,,,,,,
2023-10-17,5544.10009765625,22422.650390625,1.7994532146740838,564.8706045605368,4979.229493095713,,0.3642273130086509,,,,,,,,,,,,,,,
2023-10-18,5677.4501953125,22427.94921875,2.199931083377341,693.9399221880685,4983.510273124432,,0.4433137969064546,,,,,,,,,,,,,,,
2023-10-19,5630.89990234375,22656.099609375,1.919048067458116,607.473841068294,5023.426061275456,,0.3923704337678969,,,,,,,,,,,,,,,
2023-10-20,5569.2998046875,22640.25,1.7194379650980978,545.9132622357356,5023.386542451764,,0.3650557837589623,,,,,,,,,,,,,,,
2023-10-23,5551.9501953125,22716.05078125,1.6137857289842084,513.684089237272,5038.266106075228,,0.3396003112685899,,,,,,,,,,,,,,,
2023-10-25,5513.85009765625,22511.349609375,1.5872742848175736,506.65578519325663,5007.194312462993,,0.3281240009543243,,,,,,,,,,,,,,,
2023-10-26,5421.9501953125,22232.400390625,1.433422692253447,458.630095729608,4963.320099582892,,0.3102003721601943,,,,,,,,,,,,,,,
2023-10-27,5397.2998046875,22670.69921875,1.1248120431481134,360.1851156276816,5037.114689059818,,0.264882571484949,,,,,,,,,,,,,,,
2023-10-30,5345.35009765625,22481.75,1.0554985616274757,338.29323031355307,5007.056867342697,,0.2592554431325599,,,,,,,,,,,,,,,
2023-10-31,5367.5498046875,22413.650390625,1.1540153659594723,370.36247373395145,4997.187330953549,,0.2609016048772024,,,,,,,,,,,,,,,
2023-11-01,5346.4501953125,22234.94921875,1.175010292615514,377.6382238473216,4968.811971465178,,0.2637626918232406,,,,,,,,,,,,,,,
2023-11-02,5338.5,22382.099609375,1.0695810286016754,344.06121539245305,4994.438784607547,,0.2482232053329655,,,,,,,,,,,,,,,
2023-11-03,5263.0498046875,22796.150390625,0.6191598967880078,199.09603786067328,5063.953766826827,,0.2109250645149293,,,,,,,,,,,,,,,
2023-11-06,5338.10009765625,23314.0,0.5821338596780521,187.07710255956957,5151.0229950966805,,0.1966572989879233,,,,,,,,,,,,,,,
2023-11-07,5404.35009765625,23786.44921875,0.540750539377964,173.63306208465474,5230.717035571595,,0.1919357464977019,,,,,,,,,,,,,,,
2023-11-08,5453.5498046875,24265.69921875,0.4422921200000481,141.8756361675787,5311.674168519921,,0.1910204940581805,,,,,,,,,,,,,,,
2023-11-09,5457.9501953125,23879.44921875,0.6535180327695557,209.6915029637557,5248.258692348744,,0.205016875679073,,,,,,,,,,,,,,,
2023-11-10,5424.89990234375,23705.650390625,0.6383668883695763,204.81081284929127,5220.089089494459,,0.2191756726376835,,,,,,,,,,,,,,,
2023-11-13,5419.85009765625,23152.650390625,0.9074065835648076,291.4045639771893,5128.445533679061,,0.2410045678977346,,,,,,,,,,,,,,,
2023-11-15,5419.9501953125,22926.25,1.0213496100011366,328.2694461344654,5091.680749178035,,0.250870422952008,,,,,,,,,,,,,,,
2023-11-16,5544.25,23293.55078125,1.2074580989341173,388.4228739916607,5155.827126008339,,0.2604232968128122,,,,,,,,,,,,,,,
