Dates,COFORGE.NS Y,TECHM.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of TECHM.NS X,Effective Margin of COFORGE.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of COFORGE.NS X,Effective Investment of COFORGE.NS Y,Multiplier X,Multiplier Y
2023-08-25,5256.2001953125,1189.5,2.542612746185504,981.5619569048768,4274.638238407623,,0.7366440360094249,,,,,,,,,,,,,,,
2023-08-28,5171.89990234375,1184.75,2.339564769179562,907.7189976690142,4264.180904674736,,0.7276778107512023,,,,,,,,,,,,,,,
2023-08-29,5225.60009765625,1198.0,2.376546662268895,926.9462343241612,4298.653863332089,,0.73253592029162,,,,,,,,,,,,,,,
2023-08-30,5298.25,1197.199951171875,2.548056578139553,1000.006018158898,4298.243981841102,,0.7597343318771128,,,,,,,,,,,,,,,
2023-08-31,5466.4501953125,1201.949951171875,2.9186580878206825,1154.6421626181336,4311.808032694366,,0.8523310910025572,,,,,,,,,,,,,,,
2023-09-01,5451.89990234375,1228.050048828125,2.695873300817506,1073.740886295238,4378.159016048512,,0.8634748656436406,,,,,,,,,,,,,,,
2023-09-04,5489.0,1256.75,2.5900668808382576,1038.1279580571072,4450.872041942893,,0.8286068525333363,,,,,,,,,,,,,,,
2023-09-05,5611.5,1254.550048828125,2.881413464070284,1164.2736105258482,4447.226389474152,,0.8538236979182277,,,,,,,,,,,,,,,
2023-09-06,5625.60009765625,1248.949951171875,2.9211163990272717,1190.320205017797,4435.279892638453,,0.8455048845205047,,,,,,,,,,,,,,,
2023-09-07,5610.35009765625,1269.25,2.736573937973828,1123.0690845084373,4487.281013147813,,0.8494321770409636,,,,,,,,,,,,,,,
2023-09-08,5550.60009765625,1262.949951171875,2.6093589264343318,1077.538513846317,4473.061583809933,,0.8406293695278773,,,,,,,,,,,,,,,
2023-09-11,5515.7001953125,1268.8499755859375,2.4734216591094067,1026.8372098520267,4488.862985460473,,0.827550780689764,,,,,,,,,,,,,,,
2023-09-12,5459.5,1266.0,2.3439743649116624,976.9424150844123,4482.557584915588,,0.8027140518636278,,,,,,,,,,,,,,,
2023-09-13,5437.14990234375,1260.4000244140625,2.312403396892763,967.6331841113824,4469.516718232368,,0.7815937269025475,,,,,,,,,,,,,,,
2023-09-14,5456.64990234375,1279.8499755859375,2.233596185082132,938.2381839432992,4518.411718400451,,0.8133111207932601,,,,,,,,,,,,,,,
2023-09-15,5618.89990234375,1300.050048828125,2.4882329664074856,1049.8372650733354,4569.062637270415,,0.8255967344522361,,,,,,,,,,,,,,,
2023-09-18,5544.89990234375,1289.800048828125,2.3600339245311064,1000.2237576123152,4544.676144731435,,0.8223725270886979,,,,,,,,,,,,,,,
2023-09-20,5418.0,1274.3499755859375,2.1426263838184134,910.888674350028,4507.111325649972,,0.8563057379570638,,,,,,,,,,,,,,,
2023-09-21,5336.2998046875,1291.6500244140625,1.8469432218933028,786.5305701953021,4549.769234492198,,0.8218255899760494,,,,,,,,,,,,,,,
2023-09-22,5293.4501953125,1305.3499755859375,1.6637515137107706,709.7049853846875,4583.7452099278125,,0.843631977961304,,,,,,,,,,,,,,,
2023-09-25,5285.89990234375,1299.449951171875,1.6748102855221183,715.9497462401941,4569.950156103556,,0.8630581037188758,,,,,,,,,,,,,,,
2023-09-26,5193.2001953125,1282.300048828125,1.5534341773502618,664.9646165592976,4528.235578753202,,0.8669041323407256,,,,,,,,,,,,,,,
2023-09-27,5204.9501953125,1288.6500244140625,1.5420839809983435,660.8739795203765,4544.076215792124,,0.8436632846042871,,,,,,,,,,,,,,,
2023-09-28,5123.2998046875,1229.5,1.6862043171560683,723.6736965998089,4399.626108087691,,0.8629843514593704,,,,,,,,,,,,,,,
2023-09-29,5104.4501953125,1222.800048828125,1.677320086422616,720.8346742548811,4383.615521057619,,0.8483300973904452,,,,,,,,,,,,,,,
2023-10-03,5106.60009765625,1216.199951171875,1.7164086384973265,738.6868159963115,4367.913281659939,,0.8460466496135475,,,,,,,,,,,,,,,
2023-10-04,5135.75,1205.0,1.8425351731647712,794.5284121453196,4341.22158785468,,0.8671176557611553,,,,,,,,,,,,,,,
2023-10-05,5205.7001953125,1205.5999755859375,1.9957044654240816,862.4244505602865,4343.2757447522135,,0.887297071799966,,,,,,,,,,,,,,,
2023-10-06,5185.5498046875,1216.9000244140625,1.884033540713414,814.716646317931,4370.833158369569,,0.8587459289022279,,,,,,,,,,,,,,,
2023-10-09,5138.75,1212.6500244140625,1.7955357360520827,777.7308220711129,4361.019177928887,,0.8307595714386005,,,,,,,,,,,,,,,
2023-10-10,5196.25,1227.75,1.8393887372828328,798.267223619132,4397.982776380868,,0.8497276515897169,,,,,,,,,,,,,,,
2023-10-11,5154.64990234375,1231.5999755859375,1.718576088115846,746.9919629345941,4407.657939409156,,0.8190864144287462,,,,,,,,,,,,,,,
2023-10-12,5096.89990234375,1198.75,1.766508286052808,768.139797142846,4328.760105200904,,0.8406396732442145,,,,,,,,,,,,,,,
2023-10-13,5006.64990234375,1194.0999755859375,1.582979575739062,688.7440256377822,4317.905876705968,,0.8029046921570748,,,,,,,,,,,,,,,
2023-10-16,5040.14990234375,1184.5999755859375,1.7110983397968853,744.6274983039584,4295.522404039792,,0.8083897733604175,,,,,,,,,,,,,,,
2023-10-17,5061.7001953125,1197.5999755859375,1.68822316336573,734.9784280183685,4326.721767294132,,0.7465359678585644,,,,,,,,,,,,,,,
2023-10-18,5092.10009765625,1187.0999755859375,1.8080454387031613,789.2530832525881,4302.847014403662,,0.7988143124391025,,,,,,,,,,,,,,,
2023-10-19,5108.7998046875,1172.1500244140625,1.9182231989336525,840.039503257969,4268.760301429531,,0.8315135364536907,,,,,,,,,,,,,,,
2023-10-20,5000.10009765625,1170.699951171875,1.6694803981090487,733.1837982281968,4266.916299428053,,0.7898871860423092,,,,,,,,,,,,,,,
2023-10-23,4915.39990234375,1155.949951171875,1.5485705341113918,681.6884656524471,4233.711436691303,,0.7632965895950206,,,,,,,,,,,,,,,
