Dates,ICICIGI.NS Y,HDFCLIFE.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of HDFCLIFE.NS X,Effective Margin of ICICIGI.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of ICICIGI.NS X,Effective Investment of ICICIGI.NS Y,Multiplier X,Multiplier Y
2022-05-02,1283.9000244140625,579.8499755859375,-0.6086622963889257,-33.70531887389848,1317.605343287961,,,,,,,,,,,,,,,,
2022-05-04,1275.1500244140625,567.5999755859375,-0.4430607027581559,-24.52878667571622,1299.6788110897787,,,,,,,,,,,,,,,,
2022-05-05,1289.9000244140625,569.75,-0.2314372705564695,-12.814244395984131,1302.7142688100466,,,,,,,,,,,,,,,,
2022-05-06,1281.4000244140625,565.9500122070312,-0.2784964595276386,-15.401187138219484,1296.801211552282,,,,,,,,,,,,,,,,
2022-05-09,1264.3499755859375,563.8499755859375,-0.5208611213679434,-28.72645677567584,1293.0764323616131,,,,,,,,,,,,,,,,
2022-05-10,1267.8499755859375,559.2000122070312,-0.322709696575525,-17.74231298898667,1285.5922885749242,,,,,,,,,,,,,,,,
2022-05-11,1284.449951171875,563.5499877929688,-0.129491901741131,-7.114010747844077,1291.563961919719,,,,,,,,,,,,,,,,
2022-05-12,1249.0999755859375,547.25,-0.3277709277311808,-17.979815163273088,1267.0797907492106,,,,,,,,,,,,,,,,
2022-05-13,1280.4000244140625,550.75,0.1502741933916782,8.243937238181388,1272.156087175881,,,,,,,,,,,,,,,,
2022-05-16,1297.8499755859375,549.7000122070312,0.5053803826014437,27.688113303870068,1270.1618622820674,,,,,,,,,,,,,,,,
2022-05-17,1311.3499755859375,554.8499755859375,0.6208897999909124,33.981293666038255,1277.3686819198992,,,,,,,,,,,,,,,,
2022-05-18,1285.3499755859375,550.0,0.2852554250927716,15.589222665163334,1269.7607529207742,,,,,,,,,,,,,,,,
