Dates,COFORGE.NS Y,BSOFT.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of BSOFT.NS X,Effective Margin of COFORGE.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of COFORGE.NS X,Effective Investment of COFORGE.NS Y,Multiplier X,Multiplier Y
2023-07-27,4692.7001953125,402.2000122070313,0.2270682950810326,101.05561965032666,4591.644575662173,,0.1614430123442507,,,,,,,,,,,,,,,
2023-07-28,4672.2998046875,415.8999938964844,-0.0166791884304267,-7.408543559759892,4679.70834824726,,0.1903233579781854,,,,,,,,,,,,,,,
2023-07-31,4703.7001953125,427.25,-0.1101489200550097,-48.869903913328926,4752.570099225829,,0.2270714286237176,,,,,,,,,,,,,,,
2023-08-01,4845.4501953125,432.1499938964844,0.1379920367760075,61.20528412693238,4784.244911185568,,0.2276465555322002,,,,,,,,,,,,,,,
2023-08-02,4757.10009765625,425.7000122070313,0.0347150847835157,15.397198328750164,4741.7028993275,,0.2247257663346132,,,,,,,,,,,,,,,
2023-08-03,4765.25,433.7999877929688,-0.0645705623875171,-28.628235500100345,4793.8782355001,,0.2220751900496463,,,,,,,,,,,,,,,
2023-08-04,4888.14990234375,438.7999877929688,0.140051568443932,62.07147030319811,4826.078432040552,,0.227215203653098,,,,,,,,,,,,,,,
2023-08-07,4942.64990234375,448.6000061035156,0.1196100988270936,52.991214054498414,4889.658688289252,,0.233826757333729,,,,,,,,,,,,,,,
2023-08-08,4980.89990234375,451.5499877929688,0.1622933433657996,71.89595654059667,4909.003945803153,,0.2321544096947981,,,,,,,,,,,,,,,
2023-08-09,5067.9501953125,454.1499938964844,0.3200850363723744,141.7911249744884,4926.159070338012,,0.236496297712793,,,,,,,,,,,,,,,
2023-08-10,5146.89990234375,445.2999877929688,0.6264198912413609,277.6585254625388,4869.241376881211,,0.250648908537227,,,,,,,,,,,,,,,
2023-08-11,5267.89990234375,445.8500061035156,0.8871878096864689,393.550892804642,4874.349009539108,,0.2668169367620278,,,,,,,,,,,,,,,
2023-08-14,5277.0498046875,448.1499938964844,0.8705296405782036,386.41297204730745,4890.636832640193,,0.255141455607096,,,,,,,,,,,,,,,
2023-08-16,5075.9501953125,451.5499877929688,0.3678970490176942,163.25488218302507,4912.695313129475,,0.222740006736635,,,,,,,,,,,,,,,
2023-08-17,5005.2001953125,470.1000061035156,-0.0629350166726998,-27.903410003072167,5033.103605315572,,0.2032533174624926,,,,,,,,,,,,,,,
2023-08-18,4920.14990234375,453.5499877929688,-0.0080912161217509,-3.587424315624048,4923.737326659374,,0.2072523887391859,,,,,,,,,,,,,,,
2023-08-21,4996.5,462.6000061035156,0.0327974949355668,14.5314788517353,4981.968521148265,,0.1974199412792277,,,,,,,,,,,,,,,
2023-08-22,4961.0,466.2999877929688,-0.0986311746297709,-43.66674613427767,5004.666746134278,,0.1961172490919618,,,,,,,,,,,,,,,
2023-08-23,4913.10009765625,465.6499938964844,-0.1936615617229547,-85.68658412944205,4998.786681785692,,0.1809932540506978,,,,,,,,,,,,,,,
