Dates,LUPIN.NS Y,GLENMARK.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of GLENMARK.NS X,Effective Margin of LUPIN.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of LUPIN.NS X,Effective Investment of LUPIN.NS Y,Multiplier X,Multiplier Y
2022-04-29,744.6500244140625,439.5499877929688,-1.7246539112623842,-138.79136383968455,883.441388253747,,,,,,,,,,,,,,,,
2022-05-02,741.8499755859375,437.4500122070313,-1.7080587536250775,-137.70386564070577,879.5538412266433,,,,,,,,,,,,,,,,
2022-05-04,726.75,421.0499877929688,-1.6063983694934438,-129.67753730773745,856.4275373077375,,,,,,,,,,,,,,,,
2022-05-05,726.3499755859375,418.5499877929688,-1.550041519112838,-125.23702667620182,851.5870022621393,,,,,,,,,,,,,,,,
2022-05-06,723.8499755859375,410.75,-1.4290660967357107,-115.43959299406526,839.2895685800028,,,,,,,,,,,,,,,,
2022-05-09,733.0499877929688,415.7000122070313,-1.3784572174182803,-111.33272802337274,844.3827158163415,,,,,,,,,,,,,,,,
2022-05-10,714.4500122070312,404.1499938964844,-1.3890235464697007,-112.15498668002932,826.6049988870606,,,,,,,,,,,,,,,,
2022-05-11,716.7999877929688,403.5,-1.326565219240572,-107.0667482887294,823.8667360816981,,,,,,,,,,,,,,,,
2022-05-12,694.1500244140625,390.5499877929688,-1.3556384534676449,-109.34121773130757,803.49124214537,,,,,,,,,,,,,,,,
2022-05-13,696.3499755859375,393.8500061035156,-1.357614114860425,-109.3641279486144,805.7141035345519,,,,,,,,,,,,,,,,
2022-05-16,685.0499877929688,392.6000061035156,-1.4470590230017175,-116.52475421442055,801.5747420073893,,,,,,,,,,,,,,,,
2022-05-17,690.9000244140625,402.3999938964844,-1.5246514905991888,-122.72523757531428,813.6252619893768,,,,,,,,,,,,,,,,
2022-05-18,683.2999877929688,406.2999877929688,-1.6631165483853494,-133.7971830814978,817.0971708744665,,,,,,,,,,,,,,,,
2022-05-19,634.8499755859375,392.6499938964844,-1.9758427737151256,-158.850958717803,793.7009343037405,,,,,,,,,,,,,,,,
2022-05-20,638.4000244140625,407.5,-2.175610394643713,-174.98907219591683,813.3890966099793,,,,,,,,,,,,,,,,
2022-05-23,618.5,404.1499938964844,-2.3200027362459075,-186.72179435462715,805.2217943546271,,,,,,,,,,,,,,,,
2022-05-24,600.8499755859375,394.9500122070313,-2.3175714594025227,-186.58296526892357,787.432940854861,,,,,,,,,,,,,,,,
2022-05-25,590.25,386.5499877929688,-2.240183910823438,-180.57816209207223,770.8281620920723,,,,,,,,,,,,,,,,
2022-05-26,600.5,393.6499938964844,-2.2156823901357408,-179.2451500823298,779.7451500823298,,,,,,,,,,,,,,,,
2022-05-27,605.75,397.8999938964844,-2.2009214519433686,-178.69748155988054,784.4474815598805,,,,,,,,,,,,,,,,
