Dates,ABBOTINDIA.NS Y,ZYDUSLIFE.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of ZYDUSLIFE.NS X,Effective Margin of ABBOTINDIA.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of ABBOTINDIA.NS X,Effective Investment of ABBOTINDIA.NS Y,Multiplier X,Multiplier Y
2023-08-10,23887.75,657.8499755859375,-0.0686762384321787,-87.20969624192367,23974.959696241924,,0.0308552944184781,,,,,,,,,,,,,,,
2023-08-11,23732.80078125,650.9500122070312,-0.1005010396002412,-127.06714497114444,23859.867926221144,,0.039895592044425,,,,,,,,,,,,,,,
2023-08-14,23637.80078125,641.6500244140625,-0.043453955778871,-54.7659370423753,23692.56671829237,,0.0275739915599488,,,,,,,,,,,,,,,
2023-08-16,23904.19921875,657.4000244140625,-0.100996805390472,-126.50661094128736,24030.705829691287,,0.0245341437003983,,,,,,,,,,,,,,,
2023-08-17,23658.75,644.8499755859375,-0.1143730334703397,-142.5998224940231,23801.349822494023,,0.0252671645229419,,,,,,,,,,,,,,,
2023-08-18,23399.599609375,647.8499755859375,-0.3856101496020048,-478.2515465138204,23877.85115588882,,0.0259613945395681,,,,,,,,,,,,,,,
2023-08-21,23436.05078125,653.0999755859375,-0.4553939094222194,-561.8561780867021,23997.906959336706,,0.0230111971605505,,,,,,,,,,,,,,,
2023-08-22,23478.349609375,650.9000244140625,-0.4010492699988873,-492.2416241105457,23970.591233485546,,0.0217353375163899,,,,,,,,,,,,,,,
2023-08-23,23231.099609375,645.3499755859375,-0.5258291950980158,-642.2265350624875,23873.326144437488,,0.0246149859877957,,,,,,,,,,,,,,,
2023-08-24,23164.650390625,640.8499755859375,-0.5190953607363428,-631.1393862990371,23795.78977692404,,0.0467200066145137,,,,,,,,,,,,,,,
2023-08-25,23221.0,629.2999877929688,-0.2881326724183457,-349.6778129055383,23570.67781290554,,0.035598612361329,,,,,,,,,,,,,,,
2023-08-28,23388.44921875,634.2999877929688,-0.2472980486711493,-299.02473196961,23687.47395071961,,0.0646215400115898,,,,,,,,,,,,,,,
2023-08-29,23414.94921875,631.9500122070312,-0.1982036531152836,-238.89090371571,23653.84012246571,,0.0271178452218585,,,,,,,,,,,,,,,
2023-08-30,23363.650390625,628.0999755859375,-0.1896296833575808,-227.6296871059567,23591.28007773096,,0.0296269310986979,,,,,,,,,,,,,,,
2023-08-31,23109.55078125,625.8499755859375,-0.3743705301893533,-447.78055685092113,23557.33133810092,,0.0357234173682118,,,,,,,,,,,,,,,
2023-09-01,22704.650390625,613.9500122070312,-0.5154357667927697,-615.1226875950924,23319.77307822009,,0.0549077562468269,,,,,,,,,,,,,,,
2023-09-04,22345.25,620.5,-0.9305701861584744,-1109.522672253479,23454.77267225348,,0.0818056414703886,,,,,,,,,,,,,,,
2023-09-05,22793.25,634.0499877929688,-0.786166689929644,-936.9625980952987,23730.2125980953,,0.0771070398027758,,,,,,,,,,,,,,,
2023-09-06,23106.599609375,636.4000244140625,-0.5624944694181626,-670.2695197331122,23776.869129108112,,0.0637133702302726,,,,,,,,,,,,,,,
