Dates,COFORGE.NS Y,FSL.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of FSL.NS X,Effective Margin of COFORGE.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of COFORGE.NS X,Effective Investment of COFORGE.NS Y,Multiplier X,Multiplier Y
2022-12-30,3884.10009765625,102.3000030517578,0.9200363820535952,488.032828344521,3396.067269311729,,0.1893449113703375,,,,,,,,,,,,,,,
2023-01-02,3951.199951171875,103.3499984741211,1.000753138093003,530.9700426189147,3420.2299085529603,,0.1809784739835436,,,,,,,,,,,,,,,
2023-01-03,4019.550048828125,103.9000015258789,1.1014098683487246,584.3798985054545,3435.1701503226705,,0.1850045584127386,,,,,,,,,,,,,,,
2023-01-04,3949.25,102.1999969482422,1.022856324393994,542.4914995451109,3406.758500454889,,0.1830316062373255,,,,,,,,,,,,,,,
2023-01-05,3929.449951171875,102.3000030517578,0.9742924438260632,516.583260419493,3412.866690752382,,0.1897056679952705,,,,,,,,,,,,,,,
2023-01-06,3901.0,101.25,0.9511562693497316,504.2451622656081,3396.754837734392,,0.1804179620572248,,,,,,,,,,,,,,,
2023-01-09,4017.35009765625,103.8499984741211,1.0685649525935468,566.5225993167696,3450.8274983394804,,0.1868759071131402,,,,,,,,,,,,,,,
2023-01-10,3974.39990234375,103.5500030517578,0.9906252200659644,525.0339133686571,3449.365988975093,,0.1878885379703499,,,,,,,,,,,,,,,
2023-01-11,3936.10009765625,103.1999969482422,0.9235217562700752,489.3333320998454,3446.7667655564046,,0.1814310680654932,,,,,,,,,,,,,,,
2023-01-12,3904.199951171875,103.4499969482422,0.8470390597770607,448.6114248988597,3455.5885262730158,,0.1532779415218456,,,,,,,,,,,,,,,
2023-01-13,3884.449951171875,104.3499984741211,0.7701238531544107,407.37029913429706,3477.079652037578,,0.1475631952004539,,,,,,,,,,,,,,,
2023-01-16,3898.5,104.1999969482422,0.7944714700685862,419.70771067660553,3478.7922893233945,,0.1525110683342023,,,,,,,,,,,,,,,
2023-01-17,3918.0,104.4000015258789,0.8169692158581453,431.1113935432791,3486.888606456721,,0.1355383721250634,,,,,,,,,,,,,,,
2023-01-18,3925.800048828125,104.9000015258789,0.8066178681379828,424.926423361504,3500.873625466621,,0.1304973317292991,,,,,,,,,,,,,,,
2023-01-19,3966.550048828125,103.9499969482422,0.9095286078373308,478.31441091550914,3488.235637912616,,0.1278449341687081,,,,,,,,,,,,,,,
2023-01-20,4102.0,102.6500015258789,1.2030790871899957,631.8282753674785,3470.171724632521,,0.1636437661224572,,,,,,,,,,,,,,,
2023-01-23,4358.89990234375,104.9499969482422,1.598504912173863,839.8890237169198,3519.01087862683,,0.2037977814929144,,,,,,,,,,,,,,,
2023-01-24,4324.0,106.5999984741211,1.4630013289856447,768.7082972559174,3555.2917027440826,,0.1822921854894096,,,,,,,,,,,,,,,
2023-01-25,4272.7001953125,104.4499969482422,1.4289666252212692,750.5173160054287,3522.1828793070717,,0.1758980328147583,,,,,,,,,,,,,,,
2023-01-27,4294.10009765625,103.4499969482422,1.492387072878078,783.6210751063509,3510.479022549899,,0.1748470229511225,,,,,,,,,,,,,,,
2023-01-30,4418.64990234375,107.0999984741211,1.5916217219836497,835.7566728043494,3582.8932295394006,,0.1978826957468336,,,,,,,,,,,,,,,
2023-01-31,4378.89990234375,108.0500030517578,1.4726651128180204,773.1499993747975,3605.749902968953,,0.1716348512866135,,,,,,,,,,,,,,,
2023-02-01,4352.75,108.1999969482422,1.4079952592931462,738.6409253918528,3614.1090746081472,,0.1516021487287217,,,,,,,,,,,,,,,
2023-02-02,4433.89990234375,111.5,1.4410395172116433,755.269578108976,3678.630324234774,,0.1585664697839055,,,,,,,,,,,,,,,
2023-02-03,4308.60009765625,116.25,1.0344708614228475,541.1978874695915,3767.4022101866585,,0.1289633502905678,,,,,,,,,,,,,,,
2023-02-06,4317.7998046875,117.4499969482422,1.0051791455347998,524.9108928131427,3792.888911874357,,0.1322715913035789,,,,,,,,,,,,,,,
2023-02-07,4302.60009765625,118.3000030517578,0.9414727156990372,490.7684606566354,3811.831636999615,,0.1339484854314876,,,,,,,,,,,,,,,
2023-02-08,4329.4501953125,120.3000030517578,0.9199245837702688,478.77265268316296,3850.677542629337,,0.1280360528617202,,,,,,,,,,,,,,,
2023-02-09,4340.5,119.9000015258789,0.94894347955071,493.0144793318359,3847.485520668164,,0.1221774922507661,,,,,,,,,,,,,,,
2023-02-10,4334.2998046875,121.1500015258789,0.8895992669182282,461.23347911410747,3873.066325573393,,0.1244942902201531,,,,,,,,,,,,,,,
2023-02-13,4032.25,119.4499969482422,0.3590586103538151,185.68069425581507,3846.569305744185,,0.1044144240549372,,,,,,,,,,,,,,,
2023-02-14,4079.89990234375,118.1999969482422,0.4877814863343926,251.6425778036587,3828.2573245400913,,0.1084774870440084,,,,,,,,,,,,,,,
2023-02-15,4115.0,119.6999969482422,0.5003847240041597,257.5720683930026,3857.427931606997,,0.0944558932668651,,,,,,,,,,,,,,,
2023-02-16,4229.2998046875,120.75,0.6820105543426465,350.1554712515549,3879.144333435945,,0.0679085378825992,,,,,,,,,,,,,,,
2023-02-17,4204.10009765625,118.0999984741211,0.7160976596244312,366.1226709944617,3837.977426661788,,0.060220804585023,,,,,,,,,,,,,,,
2023-02-20,4335.4501953125,119.4499969482422,0.9227598399427536,469.8191235186701,3865.63107179383,,0.0750617706359147,,,,,,,,,,,,,,,
2023-02-21,4339.9501953125,118.0500030517578,0.972828555862554,493.54159488446567,3846.4086004280334,,0.0768166820888204,,,,,,,,,,,,,,,
2023-02-22,4342.5498046875,117.4499969482422,0.9922541766893064,501.6519911131391,3840.897813574361,,0.0863943888150411,,,,,,,,,,,,,,,
2023-02-23,4420.89990234375,116.3499984741211,1.177329012634339,593.6723592451372,3827.227543098613,,0.0862871234649085,,,,,,,,,,,,,,,
