Dates,HEROMOTOCO.NS Y,ASHOKLEY.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of ASHOKLEY.NS X,Effective Margin of HEROMOTOCO.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of HEROMOTOCO.NS X,Effective Investment of HEROMOTOCO.NS Y,Multiplier X,Multiplier Y
2022-06-14,2557.60009765625,133.5,-0.8519363957505468,-246.99024832566647,2804.5903459819165,,,,,,,,,,,,,,,,
2022-06-15,2605.300048828125,134.5500030517578,-0.6790906576420538,-196.23469599428063,2801.5347448224056,,,,,,,,,,,,,,,,
2022-06-16,2519.050048828125,129.89999389648438,-0.9967009817573708,-287.50685755755603,2806.556906385681,,,,,,,,,,,,,,,,
2022-06-17,2467.39990234375,131.5,-1.1637346196594895,-335.10316390937624,2802.5030662531262,,,,,,,,,,,,,,,,
2022-06-20,2452.550048828125,132.89999389648438,-1.2022622565391077,-345.8834857138945,2798.4335345420195,,,,,,,,,,,,,,,,
2022-06-21,2499.199951171875,136.75,-1.0116793056688642,-290.7827944393025,2789.982745611177,,,,,,,,,,,,,,,,
2022-06-22,2524.449951171875,133.4499969482422,-0.9390810612460688,-269.69109432269533,2794.1410454945703,,,,,,,,,,,,,,,,
2022-06-23,2674.10009765625,139.64999389648438,-0.3722913083296909,-106.61759307347438,2780.7176907297244,,,,,,,,,,,,,,,,
2022-06-24,2759.949951171875,140.0,-0.0648337469211201,-18.52703550907336,2778.4769866809484,,,,,,,,,,,,,,,,
2022-06-27,2755.5,141.3000030517578,-0.0655192797330838,-18.680028131692325,2774.1800281316923,,,,,,,,,,,,,,,,
2022-06-28,2766.699951171875,145.0,0.0058775926467681,1.673286758300037,2765.026664413575,,,,,,,,,,,,,,,,
2022-06-29,2752.39990234375,146.5500030517578,-0.0283824468691827,-8.073256303960989,2760.473158647711,,,,,,,,,,,,,,,,
2022-06-30,2719.699951171875,147.8000030517578,-0.1294871943686341,-36.80916884494809,2756.509120016823,,,,,,,,,,,,,,,,
2022-07-01,2763.800048828125,146.3000030517578,0.0171768208306501,4.880541268473735,2758.9195075596517,,,,,,,,,,,,,,,,
2022-07-04,2760.449951171875,145.0500030517578,-0.0008621090752281,-0.2447825912713597,2760.6947337631464,,,,,,,,,,,,,,,,
2022-07-05,2737.25,144.8000030517578,-0.0799518619264576,-22.677902592337887,2759.927902592338,,,,,,,,,,,,,,,,
2022-07-06,2831.800048828125,146.9499969482422,0.2758505802388912,78.13894878691099,2753.661100041214,,,,,,,,,,,,,,,,
2022-07-07,2839.449951171875,148.0,0.3161111446986175,89.43783831482324,2750.012112857052,,,,,,,,,,,,,,,,
2022-07-08,2849.300048828125,144.10000610351562,0.3208651251229346,90.65808747599476,2758.6419613521302,,,,,,,,,,,,,,,,
2022-07-11,2868.10009765625,145.1999969482422,0.402239004341657,113.46872894562011,2754.63136871063,,,,,,,,,,,,,,,,
2022-07-12,2875.5,143.39999389648438,0.4142736178545458,116.77557198326076,2758.7244280167392,,,,,,,,,,,,,,,,
2022-07-13,2843.35009765625,143.10000610351562,0.2997429251516695,84.43671040989511,2758.913387246355,,,,,,,,,,,,,,,,
2022-07-14,2792.800048828125,141.6999969482422,0.1081842162080927,30.470538404038507,2762.3295104240865,,,,,,,,,,,,,,,,
2022-07-15,2800.050048828125,144.9499969482422,0.1679473184113283,47.27645121095157,2752.773597617173,,,,,,,,,,,,,,,,
2022-07-18,2817.949951171875,145.6999969482422,0.2424181009613059,68.18346746205452,2749.7664837098205,,,,,,,,,,,,,,,,
2022-07-19,2801.199951171875,146.60000610351562,0.1958059394415716,55.02565157762547,2746.174299594249,,,,,,,,,,,,,,,,
2022-07-20,2826.75,148.5,0.3111770342056901,87.34228877657824,2739.4077112234218,,,,,,,,,,,,,,,,
2022-07-21,2847.800048828125,147.4499969482422,0.379231668832519,106.35398051497896,2741.446068313146,,,,,,,,,,,,,,,,
2022-07-22,2871.60009765625,147.1999969482422,0.4627840232738341,129.75380934526856,2741.846288310981,,,,,,,,,,,,,,,,
2022-07-25,2838.85009765625,146.89999389648438,0.3461894131800459,96.99396167997249,2741.856135976277,,,,,,,,,,,,,,,,
2022-07-26,2800.75,144.89999389648438,0.1937326133604532,54.20890923359457,2746.541090766405,,,,,,,,,,,,,,,,
2022-07-27,2782.550048828125,147.8000030517578,0.1702228220230147,47.52497815415427,2735.0250706739707,,,,,,,,,,,,,,,,
2022-07-28,2780.699951171875,145.5500030517578,0.1452598791259042,40.46757391697884,2740.232377254896,,,,,,,,,,,,,,,,
2022-07-29,2818.050048828125,149.0,0.3294339338311064,91.58598043811162,2726.4640683900134,,,,,,,,,,,,,,,,
2022-08-01,2840.800048828125,154.25,0.4870062878553605,135.05924434642566,2705.7408044817,,,,,,,,,,,,,,,,
